bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,191,326,0,0
0,191,0,191,326,0,0
0,382,0,191,326,0,0
0,573,0,191,326,0,0
0,764,0,191,326,0,0
0,955,0,191,326,0,0
0,1146,0,191,326,0,0
0,1337,0,191,326,0,0
0,1528,0,191,326,0,0
0,1719,0,191,326,0,0
0,0,326,191,326,0,0
0,191,326,191,326,0,0
0,382,326,191,326,0,0
0,573,326,191,326,0,0
0,764,326,191,326,0,0
0,955,326,191,326,0,0
0,1146,326,191,326,0,0
0,1337,326,191,326,0,0
0,1528,326,191,326,0,0
0,1719,326,191,326,0,0
0,0,652,191,326,0,0
0,191,652,191,326,0,0
0,382,652,191,326,0,0
0,573,652,191,326,0,0
0,764,652,191,326,0,0
0,955,652,191,326,0,0
0,1146,652,191,326,0,0
0,1337,652,191,326,0,0
0,1528,652,191,326,0,0
0,1719,652,191,326,0,0
0,0,978,191,326,0,0
0,191,978,191,326,0,0
0,382,978,191,326,0,0
0,573,978,191,326,0,0
0,764,978,191,326,0,0
0,955,978,191,326,0,0
0,1146,978,191,326,0,0
0,1337,978,191,326,0,0
0,1528,978,191,326,0,0
0,1719,978,191,326,0,0
0,0,1304,191,326,0,0
0,191,1304,191,326,0,0
0,382,1304,191,326,0,0
0,573,1304,191,326,0,0
0,764,1304,191,326,0,0
0,955,1304,191,326,0,0
0,1146,1304,191,326,0,0
0,1337,1304,191,326,0,0
0,1528,1304,191,326,0,0
0,1719,1304,191,326,0,0
0,0,1630,191,326,0,0
0,191,1630,191,326,0,0
0,382,1630,191,326,0,0
0,573,1630,199,158,14,-100
0,772,1630,200,156,14.5,-99
0,972,1630,202,155,14,-97.5
0,1174,1630,202,154,14,-96
0,1376,1630,202,153,15,-95
