bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,144,163,-15.5,1
0,144,0,141,159,-14.5,-1
0,285,0,143,156,-9.5,-2.5
0,428,0,143,159,-6.5,-1
0,571,0,145,161,-2,0
0,716,0,144,163,-2,1
0,860,0,147,162,-0.5,0.5
0,1007,0,146,157,-4,-1
0,1153,0,146,159,-9,-2
0,1299,0,144,200,-14,18.5
0,1443,0,137,158,-12.5,-2
0,1580,0,138,156,-13,-3
0,1718,0,148,150,-12,-5.5
0,1866,0,152,157,-11.5,-2
0,0,163,157,162,-8,0
0,157,159,156,164,-8,1.5
0,313,159,158,162,-6.5,0.5
0,471,161,155,156,-9,-1.5
0,626,163,152,157,-12,-3
0,778,163,141,158,-12.5,-2.5
0,919,162,110,163,1,0.5
0,1029,157,109,159,1,-2
0,1138,159,115,155,4.5,-4
0,1253,200,124,159,2.5,-1.5
0,1377,200,130,162,4,0
0,1507,158,134,164,2.5,1.5
0,1641,156,134,163,5.5,1
0,1775,157,125,156,6.5,-1.5
0,1900,157,117,159,5.5,-2
0,0,325,111,200,2,18.5
0,111,325,156,158,-23,-2.5
0,267,323,153,156,-22,-3.5
0,420,321,155,150,-16,-6.5
0,575,320,153,157,-12,-2.5
0,728,321,156,162,-8,-0.5
0,884,325,157,164,-9,1
0,1041,316,161,162,-8,0
0,1202,359,158,156,-10,-2
0,1360,362,159,157,-15.5,-3
0,1519,322,155,200,-20,18
0,1674,319,110,185,0.5,11
0,1784,313,109,183,1,10
0,1893,316,115,180,4.5,9
0,0,525,118,182,6,10.5
0,118,483,126,184,7.5,11
0,244,483,131,185,4,12
0,375,479,129,184,8,11.5
0,504,477,123,181,7.5,10.5
0,627,483,117,184,5.5,10.5
0,744,483,111,186,2.5,11.5
0,855,489,148,156,0,0
0,1003,515,208,141,0,0
0,1211,519,202,142,0,0
0,1413,522,184,141,0,0
0,1597,522,184,142,0,0
0,1781,504,183,141,0,0
0,0,707,183,140,0,0
0,183,668,183,140,0,0
0,366,668,148,156,-9.5,-5
0,514,667,208,137,-20.5,0
