bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,68,71,-94.5,4.5
0,68,0,88,93,-86,0
0,156,0,143,107,-59,-4
0,299,0,187,98,-27.5,-3.5
0,486,0,205,103,-15,-2.5
0,691,0,125,97,22,-6.5
0,816,0,95,84,41.5,-6.5
0,911,0,75,113,0,0
0,0,93,77,120,1,0.5
0,77,107,84,115,2.5,6.5
0,161,107,89,125,4,9.5
0,250,107,56,62,5,-8
0,306,98,61,67,6,-7
0,367,98,69,72,6.5,-8
0,436,103,75,76,8,-6.5
0,511,103,77,82,9,-6.5
0,588,103,79,85,8.5,-6
0,667,103,120,81,0,0
0,787,113,155,55,1.5,14
0,0,232,195,61,3,11.5
0,195,232,214,63,-6,11
0,409,188,224,57,-6.5,16.5
0,633,188,236,56,-2.5,19.5
0,0,342,226,54,-3,19.5
0,226,342,224,60,-1,16
0,450,247,230,57,-1.5,18
0,680,283,234,57,-3.5,19
0,0,457,254,60,0,17
0,254,457,280,172,0,0
0,534,365,158,72,0.5,-15
0,692,365,202,80,1.5,-18.5
0,0,517,222,88,-0.5,-20.5
0,222,629,243,98,-1.5,-18
0,465,629,251,105,-0.5,-16.5
0,716,445,250,107,-3,-15.5
0,0,727,254,107,-2.5,-15.5
0,254,734,255,115,-1.5,-11
0,509,734,259,111,-3,-14
0,0,849,277,118,0,0
