bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,170,206,0,0
0,170,0,162,210,-1,-2.5
0,332,0,142,211,0,-5
0,474,0,135,211,1,-3.5
0,609,0,139,212,1,-4.5
0,748,0,148,211,2.5,-4.5
0,896,0,168,210,0,-4.5
0,1064,0,172,210,1,-3.5
0,1236,0,187,207,2,-0.5
0,1423,0,180,201,0.5,2.5
0,1603,0,178,206,0,0
0,1781,0,184,209,2,0
0,0,210,185,211,0,-0.5
0,185,211,174,213,-2,-2
0,359,211,168,215,-6,-1
0,527,212,161,214,-5,-1.5
0,688,212,160,214,1,-1.5
0,848,211,167,211,0.5,0
0,1015,210,182,210,-1.5,0
0,1197,210,182,208,0,0
0,1379,207,175,207,2,1
0,1554,206,171,205,2.5,1.5
0,1725,209,167,204,4,2.5
0,0,421,170,204,2,1.5
0,170,424,135,209,-1,-3
0,305,426,135,205,-1,-1
0,440,426,132,202,-3.5,0
0,572,426,127,201,-5,4
0,699,426,121,203,-6,4.5
0,820,426,124,205,-7,5.5
0,944,422,122,200,-7,8.5
0,1066,420,118,203,-7,8.5
0,1184,420,119,198,-7.5,11
0,1303,418,118,198,-7.5,14.5
0,1421,414,116,203,-8.5,18
0,1537,414,116,204,-7.5,15.5
0,1653,413,118,198,-5,11
0,1771,413,126,208,-3.5,12
0,1897,311,131,215,0.5,8.5
0,0,625,139,224,1.5,9.5
0,139,633,136,225,3.5,11
0,275,633,157,219,3,12.5
0,432,631,182,210,2,15.5
0,614,629,188,207,2.5,18
0,802,631,186,206,2.5,18
0,988,623,187,190,3.5,10.5
