bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,156,180,-8,9.5
0,156,0,200,207,-10.5,28
0,356,0,192,199,-21.5,29
0,548,0,200,207,-14,32
0,748,0,216,207,-9.5,25.5
0,964,0,250,214,11.5,28
0,1214,0,251,215,8,29.5
0,1465,0,249,213,8,36
0,1714,0,239,229,9.5,43
0,0,207,227,213,16,35
0,227,207,264,223,-1.5,31
0,491,207,265,202,-4.5,23.5
0,756,214,262,229,-7.5,23
0,1018,215,260,239,-11.5,26.5
0,1278,215,260,240,-11,24
0,1538,229,261,239,-12.5,24
0,0,430,260,241,-11,23
0,260,430,232,240,1.5,23.5
0,492,409,196,237,21.5,24
0,688,443,191,237,18.5,29
0,879,454,193,239,23,26
0,1072,454,202,221,25.5,20
0,1274,455,219,213,7,1.5
0,1493,468,163,306,-18.5,48
0,1656,468,205,256,-5.5,24.5
0,0,671,233,285,7,29.5
0,233,671,247,611,7,52
0,480,680,252,656,6,48.5
0,732,693,258,667,5.5,52
0,990,693,266,674,0,56.5
0,1256,774,271,675,-7,54
0,1527,774,281,671,-6,55
0,0,1282,283,660,-5.5,59
0,283,1336,283,646,-5,62.5
0,566,1360,280,644,-5,60
0,846,1367,272,663,-6,71.5
1,0,0,273,667,-1,74
1,273,0,272,659,1.5,79
1,545,0,274,670,0,77.5
1,819,0,273,682,0.5,76.5
1,1092,0,273,685,-1,75.5
1,1365,0,278,688,-0.5,76.5
1,1643,0,275,689,-0.5,80.5
1,0,667,275,682,1.5,86
1,275,659,268,644,-0.5,93
1,543,670,156,159,0,0
1,699,682,200,189,0,0
1,899,682,73,74,0,1
1,972,682,107,107,-0.5,0.5
1,1079,685,134,129,-1.5,1.5
1,1213,688,180,191,-2.5,0.5
1,1393,688,198,210,-0.5,2
1,1591,689,210,219,-1,2.5
1,1801,689,215,219,0.5,1
1,0,1349,200,217,4,-0.5
1,200,1349,189,383,0,0
1,389,1303,204,487,3,0
1,593,871,248,831,3.5,0
2,0,0,286,1277,5.5,25
2,286,0,282,1328,0.5,0
2,568,0,279,1326,0.5,0
2,847,0,282,1322,0,0
2,1129,0,278,1333,0,0
2,1407,0,278,1358,0,0
2,1685,0,279,1353,0,0
3,0,0,278,1344,0,0
3,278,0,278,1345,0,0
3,556,0,156,1881,0,0
3,712,0,173,1049,-6.5,-7
3,885,0,225,1013,-14.5,-4
3,1110,0,227,468,-0.5,76.5
3,1337,0,232,976,-7.5,-5
3,1569,0,231,960,-7,-6.5
4,0,0,1949,518,-16,7
4,0,518,1848,441,-10,15.5
4,0,959,1766,235,-8,0
4,0,1194,1750,232,-13.5,-2
4,0,1426,1754,242,-8.5,-0.5
4,0,1668,1811,307,-9.5,3.5
