bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,148,141,0,0
0,148,0,181,172,0,0
0,329,0,190,181,1,-1
0,519,0,196,193,2,-3
0,715,0,206,199,0,-5
0,921,0,221,201,0,-7
0,1142,0,226,208,2,-7
0,1368,0,237,213,5,-6
0,1605,0,245,215,9,-7
0,0,172,250,227,8,-11
0,250,181,253,228,8,-10
0,503,199,261,231,8,-12
0,764,201,262,237,8,-12
0,1026,208,259,236,13,-15
0,1285,213,258,240,12,-16
0,1543,215,145,176,18,-27
0,1688,215,142,141,0,0
0,1830,215,154,162,0,0
0,0,399,173,182,0,0
0,173,409,179,193,0,0
0,352,430,191,206,-1,-2
0,543,430,201,207,-1,-2
0,744,438,208,209,1,-3
0,952,444,214,212,2,-3
0,1166,453,227,219,3,-4
0,1393,453,231,226,0,-6
0,1624,391,239,227,1,-6
0,0,602,241,231,1,-8
0,241,636,247,234,1,-8
0,488,637,255,232,2,-11
0,743,656,238,234,-2,-11
0,981,672,224,133,7,-44
