bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,267,192,63,6,
0,267,0,378,351,89,35,
0,645,0,460,431,98,13,
0,1105,0,525,482,117,17,
0,0,351,554,510,122,10,
0,554,482,576,546,117,15,
0,1130,482,596,582,124,12,
0,0,1028,609,576,132,9,
0,609,1064,616,581,133,10,
0,1225,1064,397,601,243,7,
0,1622,1064,331,605,280,8,
1,0,0,333,607,280,10,
1,333,0,332,595,284,13,
1,665,0,315,589,284,10,
1,980,0,304,587,291,12,
1,1284,0,299,582,289,12,
1,1583,0,295,564,290,18,
1,0,607,242,566,317,21,
1,242,607,165,286,355,-99,
1,407,595,152,212,362,-62,
