bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,112,40,0,0,
0,112,0,169,69,0,0,
0,281,0,183,88,0,0,
0,464,0,199,115,-2,2,
0,663,0,227,123,2,-6,
0,0,69,236,129,-2,-3,
0,236,115,242,133,0,-4,
0,478,123,249,147,2,-6,
0,727,123,252,152,4,-9,
0,0,248,256,149,5,-9,
0,256,270,268,138,6,-15,
0,524,275,276,142,5,-16,
0,0,408,283,131,4,-11,
0,283,417,288,137,1,-11,
0,571,417,104,38,0,0,
0,675,417,155,64,-1,0,
0,830,346,168,82,-2,0,
0,0,539,183,106,2,3,
0,183,554,208,113,-2,-4,
0,391,554,217,120,2,-3,
0,608,481,222,123,1,-4,
0,0,667,229,136,0,-5,
0,229,674,233,141,0,-8,
0,462,674,236,138,-1,-8,
0,698,604,246,128,-1,-13,
0,0,815,254,131,-1,-14,
0,254,815,261,121,-1,-12,
0,515,812,264,126,0,-12,
