bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,33,32,0,0,
0,33,0,33,33,0,0,
0,66,0,37,34,0,0,
0,103,0,42,39,0,0,
0,145,0,48,44,0,0,
0,193,0,54,51,0,0,
0,247,0,54,50,0,0,
0,301,0,58,58,0,0,
0,359,0,62,65,0,0,
0,421,0,68,70,0,0,
0,489,0,74,76,-1,0,
0,563,0,78,87,-1,0,
0,641,0,82,88,0,-1,
0,723,0,89,87,-1,-1,
0,812,0,97,87,-2,0,
0,909,0,107,90,-3,0,
0,0,34,103,90,0,0,
0,103,51,102,93,0,0,
0,205,51,72,92,-8,1,
0,277,58,35,35,0,0,
0,312,58,35,36,0,0,
0,347,65,39,39,0,0,
0,386,70,43,43,0,0,
0,429,70,49,49,0,0,
0,478,76,53,53,0,0,
0,531,87,53,53,0,0,
0,584,88,60,61,0,0,
0,644,88,61,67,0,0,
0,705,88,68,75,0,0,
0,773,87,79,81,0,0,
0,852,90,83,79,0,0,
0,0,124,91,86,0,0,
0,91,144,95,91,0,0,
0,186,144,95,93,0,0,
0,281,104,89,92,0,0,
0,370,119,92,93,0,1,
0,462,140,82,96,7,2,
0,544,149,81,99,8,0,
0,625,163,83,98,9,-2,
0,708,163,32,30,0,0,
0,740,163,31,30,0,0,
0,771,168,32,33,0,0,
0,803,168,38,38,0,0,
0,841,169,44,43,0,0,
0,885,169,51,47,0,0,
0,936,129.5,51,48,0,0,
0,0,210,57,54,0,0,
0,57,235,62,64,0,0,
0,119,235,67,72,0,0,
0,186,237,72,77,0,0,
0,258,237,80,85,0,0,
0,338,212,81,96,0,-3,
0,419,236,90,98,0,0,
0,509,248,97,101,-2,-1,
0,606,261,93,101,0,0,
0,699,261,92,104,0,0,
0,791,206,47,99,4,2,
0,838,212,32,33,0,0,
0,870,216,32,34,0,0,
0,902,216,34,38,0,0,
0,936,177.5,38,42,0,0,
0,974,177.5,44,49,0,0,
0,0,264,50,55,0,0,
0,50,299,50,55,0,0,
0,100,307,57,58,0,0,
0,157,314,65,62,0,0,
0,222,322,69,69,0,0,
0,291,322,76,74,0,0,
0,367,334,86,79,0,0,
0,453,349,88,83,0,0,
0,541,362,86,90,0,0,
0,627,365,87,97,-1,0,
0,714,365,89,108,-1,1,
0,803,305,90,104,-1,-1,
0,893,254,92,103,-2,-1,
0,0,354,92,72,-4,6,
0,92,365,35,33,0,0,
0,127,376,35,34,0,0,
0,162,376,38,38,0,0,
0,200,391,42,42,0,0,
0,242,391,49,48,0,0,
0,291,396,52,52,0,0,
0,343,413,52,52,0,0,
0,395,432,60,59,0,0,
0,455,432,67,60,0,0,
0,522,452,75,68,0,0,
0,597,462,80,78,0,0,
0,677,473,79,82,0,0,
0,756,473,85,90,0,0,
0,841,409,91,94,0,0,
0,0,426,93,94,0,0,
0,93,414,92,88,0,0,
0,185,439,92,91,1,-1,
0,277,465,96,81,3,6,
0,373,492,98,80,2,6,
0,471,520,97,82,0,6,
0,568,520,29,28,0,0,
0,597,540,29,29,0,0,
0,626,540,32,33,0,0,
0,658,555,38,36,0,0,
0,696,555,44,43,0,0,
0,740,563,50,48,0,0,
0,790,563,50,48,0,0,
0,840,563,56,54,0,0,
0,896,503,60,62,0,0,
0,956,456,67,66,0,0,
0,0,520,70,75,0,0,
0,70,520,79,82,0,0,
0,149,530,80,93,0,0,
0,229,546,90,94,0,0,
0,319,572,100,98,0,0,
0,419,602,91,97,3,-1,
0,510,602,86,98,3,-2,
0,596,591,66,87,5,-6,
