bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,22,20,2,2
0,22,0,22,20,2,1
0,44,0,24,21,2,1
0,68,0,26,25,2,1
0,94,0,29,27,2,1
0,123,0,33,31,2,1
0,156,0,33,31,2,1
0,189,0,36,35,2,1
0,225,0,38,39,2,1
0,263,0,41,42,2,0
0,304,0,44,46,1,-1
0,348,0,46,50,1,-1
0,394,0,48,50,2,0
0,442,0,52,51,1,0
0,0,21,57,50,0,1
0,57,27,63,53,-1,1
0,120,31,60,53,1,0
0,180,39,60,55,1,0
0,240,42,43,54,-4,1
0,283,46,23,22,0,1
0,306,46,23,22,0,1
0,329,50,24,24,0,1
0,353,50,26,25,0,1
0,379,50,31,30,0,2
0,410,50,32,32,0,1
0,442,51,32,31,0,1
0,474,51,36,36,1,1
0,0,71,37,41,1,1
0,37,80,40,43,1,1
0,77,84,47,47,1,2
0,124,84,49,46,0,1
0,173,94,53,50,0,1
0,226,96,56,53,0,2
0,282,96,56,54,0,3
0,338,80,53,55,0,2
0,391,82,55,54,0,3
0,446,87,48,56,4,3
0,0,123,48,57,5,3
0,48,131,49,58,5,2
0,97,131,20,18,2,2
0,117,131,20,20,2,2
0,137,130,20,21,2,3
0,157,144,24,23,2,2
0,181,144,27,27,3,3
0,208,149,30,29,3,3
0,238,149,30,30,3,3
0,268,150,34,33,3,4
0,302,150,37,39,3,3
0,339,135,40,43,3,3
0,379,136,43,46,2,3
0,422,143,47,50,3,3
0,0,180,48,56,3,1
0,48,189,53,57,3,2
0,101,151,56,59,1,1
0,157,178,55,59,2,2
0,212,179,54,61,2,2
0,266,183,29,58,5,4
0,295,189,20,20,1,1
0,315,189,20,21,1,1
0,335,189,22,24,1,0
0,357,182,24,26,1,0
0,381,182,28,30,1,-1
0,409,193,31,33,1,-1
0,440,193,31,33,1,-1
0,471,168,34,36,1,-1
0,0,236,38,38,1,-1
0,38,246,41,41,1,-1
0,79,246,46,44,2,1
0,125,237,51,47,2,1
0,176,240,51,49,3,0
0,227,241,51,53,3,2
0,278,241,51,57,1,2
0,329,213,53,62,1,4
0,382,226,53,61,1,2
0,435,226,54,60,1,3
0,0,287,55,43,0,8
0,55,287,22,20,0,0
0,77,290,22,22,0,0
0,99,290,24,24,0,0
0,123,290,26,27,0,0
0,149,289,30,30,1,1
0,179,289,32,32,0,1
0,211,294,32,32,0,1
0,243,294,35,36,0,1
0,278,298,41,36,1,1
0,319,298,44,41,2,1
0,363,287,48,47,1,2
0,411,287,46,49,1,2
0,457,286,50,54,1,1
0,0,330,54,55,1,1
0,54,330,54,56,2,1
0,108,319,54,52,1,2
0,162,326,54,54,1,1
0,216,330,56,48,1,5
0,272,339,57,47,1,6
0,329,339,57,49,0,6
0,386,334,19,17,1,1
0,405,336,19,19,1,1
0,424,336,21,21,1,1
0,445,340,23,23,1,1
0,468,340,27,26,2,1
0,0,385,30,30,3,1
0,30,386,30,29,3,1
0,60,386,34,33,3,1
0,94,386,37,38,3,1
0,131,380,39,39,2,2
0,170,380,41,44,0,3
0,211,380,47,48,1,3
0,258,386,47,55,1,6
0,305,388,52,56,0,4
0,357,388,59,58,0,4
0,416,366,53,57,2,4
0,0,415,50,58,2,3
0,50,419,40,51,3,0
