bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,97,153,0,0
0,103,0,99,152,2,-3
0,217,0,97,156,0,0
0,324,0,100,143,2,-12
0,427,6,97,138,-1,-19
0,538,0,129,152,-0.3,0
0,673,0,129,149,-0.5,-3
0,809,2,129,147,0.6,-6.7
0,942,0,130,140,-0.3,-12
0,1073,0,130,135,-1.6,-20
0,1202,0,108,173,14.8,20
0,1310,0,106,171,14.8,17
0,1418,0,106,166,14.9,13
0,1525,0,107,163,14.2,8
0,1631,0,106,162,13.1,5
0,1737,0,129,151,9,-4.7
0,1865,0,128,147,8,-7
0,0,154,126,143,7.5,-10
0,126,153,127,141,8,-13.5
0,253,155,125,131,5.8,-23.5
0,379,142,117,162,-3,8.5
0,496,153,115,157,-4,2.5
0,611,154,114,154,-4,0.6
0,727,153,113,145,-4,-9.4
0,841,151,115,140,-3,-16
0,958,144,97,163,-3,10.5
0,1056,134,97,165,-2,10
0,1154,171,99,161,-1,4
0,1253,172,99,158,-1.8,-4
0,1352,171,101,152,-2,-13
0,1052,471,142,122,16,-33
0,1194,494,167,100,31,-54
0,1360,492,161,79,29,-76
0,1522,492,161,78,28,-76
0,1684,426,161,86,28,-70
0,1683,512,161,89,28,-65
0,1845,498,162,92,30,-63
0,0,573,161,64,28,-87
0,161,574,161,69,28,-85
0,325,586,161,74,27,-80
0,486,603,160,77,28,-77
0,647,605,161,78,28,-74
0,809,579,166,75,33,-77
0,1591,311,76,79,-16,-40
0,1669,324,77,101,-16,-23
0,1748,320,80,105,-11,-20
0,1829,313,80,102,-11,-21
0,1912,315,81,78,-11,-40
0,1592,391,75,98,-10,-35
0,1959,391,89,108,-9,-30
0,0,438,86,104,-13,-34
0,91,440,113,133,20.2,-16
0,206,439,110,128,18,3
0,320,455,124,127,9,1
0,446,460,113,121,-11,-3
0,560,458,107,144,-10,-4
0,668,461,120,125,-1,-25
0,789,451,127,129,5,-31
0,917,450,134,115,19,-33
0,1453,166,134,155,12,-4
0,1586,164,122,147,4,-10
0,1709,160,112,157,-3,-2
0,1822,151,108,160,-4,1
0,1932,147,109,168,-4,10
0,0,297,112,140,0,-12
0,113,295,123,143,8,-9
0,236,287,127,146,13,-7
0,363,304,123,149,9,-3
0,488,310,113,146,0,-8
0,601,309,112,148,1,-7
0,714,298,113,150,0,-2
0,828,291,119,145,4,-9
0,949,307,117,142,2,-8
0,1068,328,125,143,10,-5
0,1194,336,136,150,19,-3
