bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,109,106,11,2
0,109,0,112,106,11,0
0,221,0,110,108,11,4
0,331,0,133,157,21,34
0,464,0,117,169,12,41
0,581,0,141,165,5,40
0,722,0,139,165,4,40
0,861,0,111,165,10,40
0,0,106,114,113,11.5,7
0,114,108,111,113,11,7
0,225,157,112,114,12,7
0,337,157,111,111,10,8
0,448,169,109,112,10,8
0,557,169,109,111,10,8
0,666,165,120,108,13,8
0,786,165,121,108,13,8
0,0,221,124,99,13,8
0,124,271,130,88,13,8
0,254,271,128,89,11,8
0,382,281,131,90,10,8
0,513,281,127,93,10,8
0,640,280,129,94,12,8
0,769,273,111,107,10,3
0,880,273,114,102,11,3
0,0,320,113,102,12,3
0,113,359,117,102,12,3
0,230,360,115,107,9,3
0,345,371,116,109,9,-2
0,461,374,114,110,8,-2
0,575,374,117,112,6,-4
