bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,110,179,21.5,255
0,110,0,112,179,20.5,255
0,222,0,111,179,21,254.5
0,333,0,110,179,21.5,254
0,443,0,112,179,20.5,254.5
0,555,0,111,179,21,254.5
0,666,0,110,179,21.5,254.5
0,776,0,110,179,21.5,254
0,886,0,112,179,20.5,254
0,998,0,111,179,21,254
0,1109,0,110,179,21.5,254
0,1219,0,110,179,21.5,254.5
0,1329,0,112,179,20.5,254.5
0,1441,0,111,179,21,254
0,1552,0,110,179,21.5,254
0,1662,0,110,179,21.5,254.5
0,1772,0,112,179,20.5,254.5
0,1884,0,111,179,21,254.5
0,0,179,110,179,21.5,254.5
0,110,179,110,179,21.5,254.5
0,220,179,112,179,20.5,254.5
0,332,179,111,179,21,254
0,443,179,110,179,21.5,254
0,553,179,110,179,21.5,254.5
0,663,179,112,179,20.5,254.5
0,775,179,107,179,23,254
0,882,179,107,179,23,254.5
0,989,179,106,179,23.5,254.5
0,1095,179,105,179,24,254.5
0,1200,179,106,179,23.5,255
0,1306,179,106,179,23.5,255
0,1412,179,106,179,23.5,254.5
0,1518,179,105,179,24,254.5
0,1623,179,106,179,23,254.5
0,1729,179,106,179,23,254.5
0,1835,179,106,179,23,255
0,1941,179,105,179,23.5,255
0,0,358,106,179,23,254.5
0,106,358,106,179,23,254.5
0,212,358,106,179,22.5,254.5
0,318,358,105,179,23,254.5
0,423,358,111,179,20,255.5
0,534,358,104,179,23.5,255.5
0,638,358,92,179,29.5,255
0,730,358,58,167,43,255
0,788,358,50,151,43,254.5
0,838,358,43,132,42,253.5
0,881,358,37,100,43.5,252
0,918,358,30,71,43,252.5
0,948,358,21,31,43,251
0,969,358,49,70,45.5,254.5
0,1018,358,68,86,47,254.5
0,1086,358,73,96,45,253
0,1159,358,74,104,47,251.5
0,1233,358,142,179,15,-2
0,1375,358,151,178,20,-2
0,1526,358,151,180,19,-0.5
0,1677,358,154,178,20,0
0,1831,358,149,197,18,8.5
0,0,537,137,229,9.5,25
0,137,537,145,243,5,32
0,282,537,154,255,-0.5,38
0,436,537,153,270,-7,45.5
0,589,537,155,258,-7.5,38.5
0,744,525,154,228,-8,23.5
0,898,458,153,206,-8.5,13
0,1051,462,159,190,-7,5
0,1210,537,158,207,-6.5,15
0,1368,537,148,222,-2,21
0,1516,538,141,231,-2.5,24.5
0,1657,538,135,235,-1.5,26.5
0,1792,555,137,221,-5,20
0,0,780,141,202,-9,10
0,141,780,140,181,-9,0
0,281,792,143,180,-10.5,0
0,424,807,126,178,-5,-1
0,550,807,122,188,-4,4
0,672,795,124,185,-3,3
0,796,753,127,189,-3,4
0,923,664,119,189,1,4
0,1042,664,109,188,0,5
0,1151,744,111,188,1,6
0,1262,759,109,184,0,4
0,1371,759,109,183,0,2.5
0,1480,769,105,181,-0.5,4
0,1585,773,104,178,-0.5,2
0,1689,773,103,175,-1.5,0
0,1792,776,64,41,-47,-79
0,1856,776,78,57,-49.5,-79
0,1934,665.5,90,51,-50,-85.5
0,0,982,92,31,-50.5,-80.5
0,92,982,85,24,-46.5,-83.5
0,177,961,81,22,-44.5,-83
0,258,972,80,22,-43,-83.5
0,338,985,166,180,-8,2.5
0,504,995,165,181,-8.5,3
0,669,995,165,180,-9.5,2.5
0,834,942,167,179,-7.5,2.5
0,1001,932,167,181,-7,2.5
0,1168,943,165,180,-7,2.5
0,1333,950,167,180,-6.5,3
0,1500,951,166,180,-7,3
0,1666,951,166,181,-6.5,3.5
0,1832,833,168,180,-6,2.5
0,0,1013,166,181,-6.5,2
0,166,1006,164,180,-9.5,1
0,330,1165,162,177,-11,1.5
0,492,1176,174,180,-10,1
0,666,1176,189,181,-6,2.5
0,855,1121,188,183,-6,3
0,1043,1123,186,182,-4,3.5
0,1229,1130,128,176,-6.5,2
0,1357,1130,71,179,40,255
0,1428,1130,71,179,40,255
0,1499,1131,70,179,39.5,255
0,1569,1131,70,179,39.5,255
0,1639,1132,70,178,39.5,254.5
0,1709,1132,70,178,39.5,254.5
0,1779,1132,71,179,39.5,254.5
0,1850,1013,71,179,39.5,254.5
0,1921,1013,70,179,39,255
0,0,1194,70,179,39,255
0,70,1194,70,178,39,254.5
0,140,1194,70,178,39,254.5
0,210,1186,64,163,40,255.5
0,274,1342,59,136,40,256
0,333,1342,52,97,39,255
0,385,1342,40,62,37,256
0,425,1342,30,38,38.5,257.5
0,455,1342,27,37,38,258
0,482,1356,41,40,34.5,259.5
0,523,1356,70,76,40,256.5
0,593,1357,108,107,39.5,259.5
0,701,1357,116,128,40,259
0,817,1357,136,143,41.5,258.5
0,0,0,1,1,0,0
