bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,110,245,-4,44
0,110,0,154,185,-23,-7
0,264,0,147,248,12,44
0,411,0,157,185,-21,-6
0,568,0,149,249,11,44
0,717,0,166,242,-17,23
0,883,0,206,171,-18,5
0,1089,0,183,242,-4,24
0,1272,0,205,179,-18,9
0,1477,0,183,242,-4,23
0,1660,0,205,158,-16,23
0,1865,0,120,148,30,28
0,0,245,116,124,28,40
0,116,185,133,122,18,40
0,249,248,149,132,11,40
0,398,248,168,135,9,41
0,566,249,196,139,-1,44
0,762,242,203,143,-4,39
0,965,242,210,166,-4,32
0,1175,242,242,169,-20,31
0,1417,242,227,141,-28,14
0,1644,242,206,144,-12,13
0,0,369,232,136,-25,16
0,232,380,112,229,0,0
0,344,383,154,185,0,0
0,498,388,149,172,0,0
0,647,388,176,167,0,0
0,823,408,161,161,0,0
0,984,408,163,242,0,0
0,1147,411,368,659,5,-30
0,1515,386,368,659,5,-30
0,0,505,184,659,1,-34
0,184,609,103,659,-3,-38
0,287,609,78,659,-2,-35
0,365,568,73,659,-1,-36
0,438,568,103,647,6,-31
0,541,1070,1020,73,-3,1
0,1561,1045,65,70,0,4
0,0,1268,690,46,-5,3
0,690,1143,65,70,0,5
0,755,1143,485,38,-6,1
