bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,144,211,0,0,
0,144,0,138,209,0,1,
0,282,0,135,209,-2,2,
0,417,0,132,212,-1,2,
0,549,0,132,210,0,3,
0,681,0,132,207,3,2,
0,813,0,138,204,5,0,
0,0,211,136,206,4,1,
0,136,211,142,210,0,0,
0,278,209,136,209,-1,0,
0,414,212,135,210,0,-1,
0,549,210,134,210,-1,-2,
0,683,207,132,209,-2,0,
0,815,204,133,211,0,0,
0,0,417,126,203,2,3,
0,126,421,128,199,2,3,
0,254,421,128,198,1,4,
0,382,422,134,194,1,5,
0,516,422,143,188,3,7,
0,659,420,145,189,2,6,
0,804,416,146,194,2,6,
0,0,620,145,199,3,2,
0,145,620,144,202,1,3,
0,289,619,145,208,-1,1,
0,1024,0,144,211,0,0,
0,1168,0,115,211,0,0,
0,1283,0,114,211,-1,-1,
0,1397,0,114,209,0,0,
0,1511,0,114,208,1,1,
0,1625,0,116,209,1,1,
0,1741,0,118,206,0,3,
0,1859,0,127,212,-4,9,
0,1024,211,114,212,0,17,
0,1138,211,111,219,1,19,
0,1249,211,110,226,4,20,
0,1359,211,109,227,4,20,
0,1468,209,111,230,3,19,
0,1579,209,108,227,0,23,
0,1687,209,114,222,-1,22,
0,1801,212,113,222,-1,24,
0,1914,212,109,214,0,22,
0,1024,423,107,191,1,11,
0,1131,430,108,186,3,11,
0,1239,437,109,185,3,12,
0,1348,438,109,183,3,12,
0,1457,439,111,181,3,13,
0,1568,439,109,181,2,13,
