bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,62,103,0,0
0,62,0,60,103,0,0
0,122,0,61,103,0,-1
0,183,0,62,102,0,-1
0,245,0,63,103,-1,-2
0,308,0,67,99,0,0
0,375,0,63,97,2,-1
0,438,0,60,95,1,-1
0,498,0,60,95,1,-1
0,558,0,63,94,0,1
0,621,0,65,97,0,1
0,686,0,66,102,1,1
0,752,0,60,106,1,0
0,812,0,57,105,0,0
0,869,0,60,106,0,-1
0,929,0,63,102,-1,0
0,0,103,63,101,0,1
0,63,103,62,100,-1,2
0,125,103,59,99,1,2
0,184,102,60,100,1,1
0,244,103,61,99,2,0
0,305,103,58,84,0,0
0,363,99,58,85,0,-1
0,421,97,59,84,-1,-2
0,480,95,59,83,-1,-3
0,539,95,59,84,-1,-3
0,598,97,65,97,3,-13
0,663,102,63,97,2,-12
0,726,106,58,92,1,-9
0,784,106,55,88,0,-5
0,839,106,54,87,2,-3
0,893,106,56,90,1,-6
0,949,102,61,96,-1,-10
0,0,204,63,95,-2,-11
0,63,203,66,94,-3,-12
0,129,202,63,92,-2,-10
0,192,202,60,90,-2,-7
0,252,202,57,84,0,-4
0,309,188,54,89,1,-4
0,363,192,54,93,1,-6
0,417,196,61,99,2,-10
0,478,193,64,98,3,-12
0,542,194,53,99,0,0
0,595,194,52,97,0,-1
0,647,202,53,100,0,0
0,700,206,54,100,0,0
0,754,206,55,100,0,-1
0,809,205,53,99,0,0
0,862,203,52,97,0,-1
0,914,206,53,100,0,0
0,967,202,54,100,0,0
0,0,299,55,100,0,-1
0,55,299,57,107,-1,-2
0,112,297,57,105,-1,-4
0,169,294,57,106,-2,-4
0,226,292,62,102,-2,-2
0,288,286,64,97,0,0
0,352,287,64,96,2,3
0,416,295,58,96,3,4
0,474,295,57,103,4,-1
0,531,293,57,109,3,-4
0,588,293,58,108,3,-5
0,646,306,59,105,3,-4
0,705,306,58,102,3,-4
0,763,306,62,98,3,-2
0,825,304,60,93,0,2
0,885,306,57,96,-1,1
0,942,306,59,103,-1,-1
0,0,406,65,91,0,0
0,65,406,64,91,0,0
0,129,402,64,92,0,-1
0,193,400,64,92,0,-1
0,257,394,64,92,0,-1
0,321,384,65,91,0,0
0,386,391,64,91,0,0
0,450,398,64,92,0,-1
0,514,402,64,92,0,-1
0,578,402,64,92,0,-1
0,642,411,66,85,0,0
0,708,408,68,84,1,1
0,776,404,65,83,0,2
0,841,402,65,87,0,1
0,906,409,65,90,0,0
0,0,497,63,92,0,1
0,63,497,63,94,0,2
0,126,497,64,92,0,3
0,190,494,67,91,-2,3
0,257,486,65,91,-2,3
0,322,475,63,89,0,2
0,385,482,63,89,0,1
0,448,490,64,89,0,0
0,512,494,63,89,1,-1
0,575,494,65,90,1,-1
0,640,496,64,89,0,-1
0,704,496,54,81,0,0
0,758,492,53,81,0,0
0,811,489,53,82,0,-1
0,864,499,54,82,0,-2
0,918,499,55,82,-1,-2
0,0,589,59,100,4,-8
0,59,591,56,101,3,-8
0,115,591,56,98,2,-5
0,171,589,64,91,0,0
0,235,585,66,88,-1,2
0,301,577,66,91,-2,-1
0,367,571,62,94,-3,-4
0,429,579,59,97,-3,-6
0,488,583,60,98,-3,-7
0,548,584,61,98,-3,-6
0,609,585,62,99,-3,-5
0,671,585,64,95,-3,-2
0,735,577,68,85,-1,4
0,803,581,65,90,0,1
0,868,581,62,95,2,-4
0,930,581,57,99,3,-6
0,0,692,80,101,0,1
0,80,692,75,98,-1,-2
0,155,689,73,104,0,1
0,228,680,82,104,1,3
0,310,668,109,106,3,6
0,419,681,103,109,0,9
0,522,684,103,113,0,11
0,625,684,102,115,0,12
0,727,680,102,116,0,10
0,829,676,89,109,0,7
0,918,680,71,103,-3,1
0,0,793,59,104,-1,1
