bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,126,150,3,-5
0,126,0,122,159,4,-2
0,248,0,120,162,-10,1
0,368,0,119,158,-9,-1
0,487,0,120,154,-9,-4
0,607,0,119,151,-9,-6
0,726,0,119,147,-9,-9
0,845,0,121,156,-9,-2
0,966,0,120,153,-8,-3
0,1086,0,118,149,-9,-4
0,1204,0,121,147,-8,-8
0,1325,0,120,142,-8,-11
0,1445,0,104,165,0,2
0,1549,0,105,160,1,-1
0,1654,0,108,158,-1,-5
0,1762,0,104,157,2,-9
0,1866,0,105,157,1,-13
0,0,159,161,157,-30,0
0,161,162,137,168,-12,5
0,298,162,138,161,-11,1
0,436,158,131,147,-16,-7
0,567,154,131,143,-16,-10
0,698,151,98,179,4,10
0,796,156,96,176,6,9
0,892,156,96,173,4,7
0,988,153,95,168,5,4
0,1083,153,98,166,4,2
0,1181,149,256,121,14,4
0,1437,165,281,150,26,-1
0,1718,158,293,140,33,7
0,0,330,326,150,49,3
0,326,323,335,141,54,8
0,661,332,204,110,-13,-2
0,865,332,115,138,0,0
0,980,329,163,129,-11,3
0,1143,319,147,119,-7,-21
0,1290,315,171,113,-5,-23
0,1461,315,166,85,-6,-37
0,1627,315,165,81,-6,-40
0,1792,298,166,83,-6,-38
0,0,480,165,90,-6,-36
0,165,480,166,93,-6,-34
0,331,464,165,95,-6,-33
0,496,464,166,74,-6,-43
0,662,442,166,74,-6,-41
0,828,470,166,77,-7,-40
0,994,458,165,78,-7,-38
0,1159,438,165,80,-7,-36
0,1324,428,197,77,-14,-39
0,1521,400,196,76,-14,-39
0,1717,396,196,76,-14,-39
0,0,573,170,79,0,0
0,170,573,171,79,-4,-41
0,341,559,180,73,-13,-43
0,521,538,173,76,-10,-43
0,694,547,150,84,4,-39
0,844,547,120,160,3,15
0,964,547,132,183,11,38
0,1096,536,123,198,7,50
0,1219,518,125,177,10,41
0,1344,505,132,240,12,68
0,1476,505,124,171,6,27
0,1600,476,98,158,0,0
0,1698,476,98,154,0,-2
0,1796,472,98,151,0,-4
0,1894,472,97,147,0,-7
0,0,652,98,143,0,-10
0,98,652,81,86,0,0
0,179,652,81,111,-2,6
0,260,652,84,107,1,-1
0,344,632,86,101,2,0
0,430,632,87,86,0,-3
0,517,632,85,101,1,-5
0,602,614,91,110,2,-8
0,693,631,90,113,1,-6
0,783,707,120,141,20,-7
0,903,730,118,132,17,17
0,1021,734,132,136,1,14
0,1153,734,120,129,-15,13
0,1273,745,114,154,-14,2
0,1387,745,127,131,-11,-8
0,1514,676,134,133,-4,-19
0,1648,634,141,126,8,-12
0,1789,630,111,119,15,5
0,1900,619,100,130,8,16
0,0,795,108,133,-11,12
0,108,763,117,117,-13,7
0,225,763,105,117,-9,-16
0,330,759,103,119,1,-14
0,433,733,102,133,13,-20
0,535,733,120,112,18,-6
0,655,848,148,152,-11,95
0,803,862,133,157,0,97
0,936,870,138,147,0,107
0,1074,870,136,150,-4,-6
0,1210,899,129,154,-7,-10
0,1339,899,128,158,-5,-7
0,1467,876,130,171,-7,-2
0,1597,809,131,165,-5,1
0,1728,760,142,146,-1,-7
0,1870,749,148,145,0,-8
0,0,928,141,144,-1,-7
0,141,880,135,153,-5,-4
0,276,880,135,158,-4,-5
0,411,878,134,162,-4,0
0,545,1000,138,169,-4,3
0,683,1019,136,146,-5,-7
0,819,1019,146,141,-1,-9
0,965,1020,152,146,3,-6
