bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,104,116,0,1
0,104,0,104,110,0,-5
0,208,0,105,112,1,-2
0,313,0,105,148,2,25
0,418,0,105,155,1,30
0,523,0,134,157,7,30
0,657,0,133,156,5,29
0,790,0,104,154,1,29
0,894,0,105,114,0,1
0,0,116,104,113,0,0
0,104,110,104,113,0,0
0,208,112,103,110,-1,3
0,311,148,104,109,-1,2
0,415,155,103,109,0,2
0,518,157,107,113,0,0
0,625,157,106,111,0,0
0,731,156,108,106,0,0
0,839,154,114,102,0,1
0,0,229,114,104,1,1
0,114,223,115,105,2,-1
0,229,257,114,106,3,-1
0,343,264,115,107,2,0
0,458,270,106,108,-1,1
0,564,270,110,104,-1,-1
0,674,268,107,102,-2,-1
0,781,262,108,99,-2,-1
0,889,256,107,108,-2,-1
0,0,333,113,107,0,-8
0,113,333,113,106,3,-9
0,226,363,115,107,2,-11
