bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,166,179,-4.5,2.5
0,166,0,165,177,-5.5,1.5
0,331,0,165,176,-5.5,1
0,496,0,167,175,-4,1
0,663,0,167,176,-3.5,0.5
0,830,0,165,178,-3.5,2
0,995,0,167,178,-3,2.5
0,1162,0,166,179,-3.5,3
0,1328,0,166,180,-3,4
0,1494,0,168,178,-2.5,2.5
0,1662,0,166,178,-3,1.5
0,1828,0,164,173,-6,-1.5
0,0,179,162,168,-8.5,-2.5
0,162,179,174,172,-7,-2.5
0,336,176,189,180,-3,2.5
0,525,176,188,180,-3,1.5
0,713,178,186,179,-1.5,2
0,899,178,128,176,-5,4.5
0,1027,178,70,178,39.5,254.5
0,1097,179,71,179,39.5,254.5
0,1168,179,71,179,39.5,254.5
0,1239,179,70,179,39,254.5
0,1309,180,70,179,39,254.5
0,1379,180,70,178,39,254
0,1449,180,70,178,39,254
0,1519,178,71,179,39,254.5
0,1590,178,71,179,39,254.5
0,1661,178,70,179,38.5,254.5
0,1731,178,70,179,38.5,254.5
0,1801,178,70,178,38.5,254
0,1871,173,70,178,38.5,254
0,1941,173,76,163,38,255
0,0,347,59,136,39.5,256
0,59,347,54,99,36.5,256
0,113,347,49,62,33.5,255.5
0,162,351,43,39,30,257
0,205,351,42,36,29.5,257.5
0,247,351,61,52,26.5,258
0,308,356,151,89,-2,249.5
0,459,356,100,106,39,257
0,559,356,113,132,39,260
0,672,357,135,144,38,259.5
0,807,357,148,155,39,259.5
0,955,358,152,164,39.5,259
0,1107,358,157,166,40,256.5
0,1264,359,109,179,0,0
0,1373,359,108,179,0,0
0,1481,358,109,178,0,0
0,1590,357,109,178,0,0
0,1699,357,109,178,0,0
0,1808,356,108,178,0,0
0,1916,351,109,179,0,0
0,0,483,109,179,0,0
0,109,446,109,178,0,0
0,218,445,108,178,0,0
0,326,445,109,178,0,0
0,435,462,109,178,0,0
0,544,488,109,179,0,0
0,653,501,108,179,0,0
0,761,512,109,178,0,0
0,870,522,109,178,0,0
0,979,522,109,178,0,0
0,1088,524,108,178,0,0
0,1196,538,109,179,0,0
0,1305,538,109,179,0,0
0,1414,538,109,178,0,0
0,1523,536,108,178,0,0
0,1631,535,109,178,0,0
0,1740,535,110,178,0,0
0,1850,534,110,179,0,0
0,0,662,113,179,0,0
0,113,624,115,178,0,0
0,228,623,114,178,0,0
0,342,640,114,178,0,0
0,456,667,113,178,0,0
0,569,680,115,179,0,0
0,684,690,114,179,0,0
0,798,700,113,178,0,0
0,911,700,115,178,0,0
0,1026,702,110,178,0,0
0,1136,717,110,178,0,0
0,1246,717,108,179,0,0
0,1354,717,109,179,0,0
0,1463,716,109,178,0,0
0,1572,714,109,178,0,0
0,1681,713,108,178,0,0
0,1789,713,107,178,0,0
0,1896,713,102,179,0,0
0,0,841,106,179,0,0
0,106,841,101,178,0,0
0,207,802,77,168,0,0
0,284,801,50,151,0,0
0,334,818,44,132,0,0
0,378,818,37,100,0,0
0,415,818,30,71,0,0
0,445,845,21,31,0,0
0,466,845,49,70,0,0
0,515,859,69,86,0,0
0,584,859,73,95,0,0
0,657,869,74,105,0,0
0,731,878,160,182,-7.5,5.5
0,891,880,159,182,-7.5,4.5
0,1050,895,159,181,-7,5
0,1209,896,166,181,-9.5,4.5
0,1375,896,167,181,-8.5,4
0,1542,894,164,193,-7,10
0,1706,891,173,197,-8,12
0,0,1020,187,193,-7,10
0,187,1019,139,183,-4.5,6
0,326,952,122,182,-3.5,5
0,448,945,126,209,-8,18.5
0,574,974,131,215,-10,21
0,705,1060,137,216,-13,22
0,842,1062,162,198,-28,13
0,1004,1076,161,174,-27.5,1
0,1165,1077,161,174,-27,0
0,1326,1077,151,199,-20,12.5
0,1477,1087,148,206,-18,16
0,1625,1088,142,206,-16.5,16
0,1767,1088,138,191,-15,8
0,1905,989.5,142,220,-15.5,23.5
0,0,1213,137,214,-13.5,21
0,137,1213,132,199,-11.5,14
0,269,1202,128,165,-10,-4
0,397,1154,126,164,-9.5,-4.5
0,523,1189,116,166,-5.5,-3
0,639,1276,117,166,-5.5,-3
0,756,1276,117,175,-7,1
0,873,1260,118,173,-7.5,0.5
0,991,1260,117,173,-7,-0.5
0,1108,1251,117,172,-8,0
0,1225,1276,120,169,-9,-1
0,1345,1276,120,170,-10.5,-1
0,1465,1293,121,169,-9.5,-0.5
0,1586,1294,122,168,-11,-1
0,1708,1294,113,170,-5.5,-1
0,1821,1279,108,168,-2.5,-2
0,1929,1209.5,105,169,-1.5,-1.5
0,0,1427,63,42,-49,-80
0,63,1427,80,54,-53,-78.5
0,143,1412,87,47,-50,-82.5
0,230,1412,89,31,-52,-76
0,319,1367,85,24,-48.5,-78
0,404,1318,82,21,-49,-82.5
0,486,1355,80,23,-46.5,-82.5
0,0,0,1,1,0,0
