bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,111,248,-4,44
0,111,0,154,185,-23,-5
0,265,0,149,249,11,45
0,414,0,157,185,-21,-5
0,571,0,149,250,11,45
0,720,0,166,242,-17,24
0,886,0,206,173,-18,6
0,1092,0,183,242,-4,24
0,1275,0,205,181,-18,10
0,1480,0,183,242,-4,23
0,1663,0,205,159,-16,23
0,1868,0,124,149,28,28
0,0,248,120,128,26,38
0,120,185,132,127,18,40
0,252,249,146,137,11,40
0,398,249,170,134,8,40
0,568,250,198,139,-1,44
0,766,242,204,152,-4,39
0,970,242,212,169,-7,32
0,1182,242,242,170,-22,31
0,1424,242,227,144,-30,14
0,1651,242,206,144,-14,14
0,0,376,232,137,-26,15
0,232,389,368,659,5,-30
0,600,394,184,659,1,-34
0,784,394,103,659,-3,-38
0,887,394,78,659,-2,-35
0,965,411,73,659,-2,-36
0,1038,411,103,647,5,-29
0,0,1070,1020,73,-3,8
0,1020,1070,64,67,-3,8
0,1084,1058,690,46,-8,7
0,1774,734.5,64,67,-3,8
0,0,1143,485,38,-9,11
