bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,144,211,0,0
0,144,0,138,209,0,1
0,282,0,135,209,0,2
0,417,0,132,212,0,3
0,549,0,132,210,0,4
0,681,0,132,207,1,3
0,813,0,138,204,3,0
0,951,0,136,206,3,2
0,1087,0,142,210,-1,1
0,1229,0,136,209,-6,1
0,1365,0,135,210,-3,0
0,1500,0,134,210,0,-1
0,1634,0,132,209,1,2
0,1766,0,133,211,3,1
0,1899,0,127,203,4,2
0,0,211,128,199,3,2
0,128,211,128,198,2,2
0,256,209,134,194,2,2
0,390,212,143,188,4,5
0,533,212,145,189,5,4
0,678,210,146,194,7,3
0,824,206,145,199,8,1
0,969,210,144,202,5,0
0,1113,210,145,208,1,1
0,1258,210,115,212,0,0
0,1373,210,114,212,-1,-1
0,1487,210,114,208,-1,-1
0,1601,210,114,208,0,0
0,1715,211,116,209,0,0
0,1831,211,118,206,-1,1
0,0,410,127,212,-4,7
0,127,410,114,212,0,15
0,241,409,112,219,1,17
0,353,403,109,226,3,15
0,462,401,108,225,2,13
0,570,404,110,228,1,10
0,680,404,108,227,0,16
0,788,405,114,222,0,16
0,902,412,113,222,1,19
0,1015,418,110,214,0,17
0,1125,418,107,185,1,1
0,1232,422,107,179,2,1
0,1339,422,108,180,1,3
0,1447,422,109,177,2,3
0,1556,418,108,175,2,3
0,1664,420,107,175,2,3
