bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,62,101,0,0
0,62,0,61,101,1,0
0,123,0,62,100,0,-1
0,185,0,62,99,0,-1
0,247,0,63,100,0,-2
0,310,0,67,95,0,0
0,377,0,63,95,1,0
0,440,0,59,95,1,1
0,499,0,60,97,1,2
0,559,0,62,95,-2,3
0,621,0,65,97,0,2
0,686,0,66,100,1,2
0,752,0,59,103,2,2
0,811,0,58,102,1,2
0,869,0,60,102,1,0
0,929,0,63,97,-2,0
0,0,101,63,98,-1,1
0,63,101,61,98,-1,3
0,124,100,59,96,2,4
0,183,100,59,98,1,3
0,242,100,60,96,2,2
0,302,100,58,84,0,0
0,360,95,58,85,0,-1
0,418,95,59,85,-1,-1
0,477,97,59,83,-1,-2
0,536,97,59,83,-1,-3
0,595,97,65,96,3,-3
0,660,100,63,96,2,-2
0,723,103,58,92,1,1
0,781,103,56,88,1,4
0,837,102,53,86,1,6
0,890,102,56,91,0,5
0,946,97,61,96,-1,2
0,0,199,63,97,-2,2
0,63,199,66,95,-3,0
0,129,198,63,94,-3,0
0,192,198,60,90,-3,0
0,252,196,56,85,-2,4
0,308,184,54,90,1,3
0,362,180,54,94,1,2
0,416,180,61,99,2,0
0,477,180,64,97,2,-1
0,541,180,53,97,0,0
0,594,193,53,95,0,-1
0,647,196,53,93,0,-2
0,700,196,54,93,-1,-2
0,754,195,55,94,0,-2
0,809,191,53,97,0,0
0,862,193,53,95,0,-1
0,915,193,53,93,0,-2
0,968,193,54,93,-1,-2
0,0,296,55,94,0,-2
0,55,296,56,100,0,0
0,111,294,56,99,0,0
0,167,292,57,98,0,0
0,224,288,62,97,0,0
0,286,281,64,93,2,2
0,350,274,64,91,4,3
0,414,279,58,91,4,5
0,472,279,57,98,4,3
0,529,277,55,101,4,-1
0,584,288,55,101,5,-3
0,639,289,58,97,4,-2
0,697,289,57,96,5,-2
0,754,289,62,94,4,0
0,816,288,60,90,1,1
0,876,288,57,93,0,1
0,933,286,58,97,0,0
0,0,396,70,92,0,0
0,70,396,70,91,0,0
0,140,393,71,91,0,-1
0,211,390,71,90,0,-1
0,282,385,71,90,0,-1
0,353,370,70,92,0,0
0,423,377,70,91,0,0
0,493,378,71,91,0,-1
0,564,389,71,90,0,-1
0,635,389,71,90,0,-1
0,706,385,72,87,0,0
0,778,383,73,86,0,0
0,851,381,70,84,0,0
0,921,383,69,87,0,0
0,0,488,72,90,0,0
0,72,487,70,92,0,0
0,142,484,70,92,0,0
0,212,480,69,90,0,0
0,281,480,69,88,0,0
0,350,475,68,87,0,0
0,418,468,69,86,0,0
0,487,469,70,89,0,0
0,557,479,71,91,0,0
0,628,479,71,92,0,0
0,699,479,71,91,0,0
0,770,472,70,90,0,0
0,840,469,54,81,0,0
0,894,470,53,80,1,0
0,947,470,53,81,1,-1
0,0,578,54,82,1,-2
0,54,579,55,81,0,-3
0,109,579,59,103,4,-4
0,168,576,56,103,3,-4
0,224,570,56,101,2,-2
0,280,570,64,94,0,3
0,344,568,66,90,-1,5
0,410,562,66,93,-2,2
0,476,558,62,95,-4,-1
0,538,570,59,97,-4,-4
0,597,571,60,98,-4,-5
0,657,571,61,100,-4,-4
0,718,570,62,100,-4,-3
0,780,562,64,97,-4,1
0,844,550,68,85,-1,8
0,912,551,65,92,0,5
0,0,660,62,95,2,0
0,62,682,57,99,4,-2
0,119,682,80,97,0,0
0,199,679,75,100,0,1
0,274,671,73,105,0,4
0,347,658,82,106,1,7
0,429,655,109,108,3,11
0,538,669,103,111,0,13
0,641,671,103,110,0,13
0,744,670,102,107,0,11
0,846,643,102,106,0,8
0,0,781,89,101,0,3
0,89,781,71,98,-2,1
0,160,779,59,97,0,0
