bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,489,173,0,18
0,489,0,479,239,6,8
0,968,0,684,224,-97,16
0,0,239,931,204,-220,29
0,931,239,565,233,-37,18
0,0,443,864,267,-187,12
0,864,472,993,271,-252,9
0,0,743,1003,273,-255,6
0,1003,743,1013,275,-261,10
0,0,1018,1017,277,-262,8
0,1017,1018,1020,280,-263,8
0,0,1295,995,291,-251,15
0,995,1298,993,272,-249,5
0,0,1586,984,274,-244,5
0,984,1586,998,276,-253,5
1,0,0,1016,286,-270,7
1,1016,0,947,303,-290,12
1,0,286,818,263,-273,8
1,818,303,751,258,-323,14
1,0,549,592,273,-428,28
1,592,549,181,172,-2,0
1,773,561,287,251,-7,-1
1,1060,561,310,266,-2,2
1,1370,561,343,286,-6,3
1,0,822,354,294,-7,5
1,354,822,363,293,-2,2
1,717,827,395,382,34,0
1,1112,847,385,389,48,1
1,1497,847,398,396,50,1
1,0,1116,405,409,49,0
1,405,1209,406,414,48,0
