bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,126,127,-2,5.5
0,126,0,142,138,-6.5,8.5
0,268,0,165,156,-3.5,3
0,433,0,175,172,-2,-2
0,608,0,193,190,1.5,-3.5
0,801,0,203,188,2.5,-13.5
0,1004,0,267,245,0,0
0,1271,0,299,276,-1,1
0,1570,0,330,314,-1.5,2
0,0,156,347,336,-2.5,4
0,347,190,358,367,-1.5,-1
0,705,245,368,381,-1,-4
0,1073,276,384,410,1.5,-5
0,1457,314,383,424,-1,-3
0,0,557,392,434,2.5,-3
0,392,626,375,381,2,4.5
0,767,686,383,381,0,6
0,1150,738,381,345,0,24.5
0,1531,738,384,413,-1.5,-8.5
0,0,991,182,207,50,11.5
0,182,991,204,238,53,13.5
0,386,1007,231,266,58.5,15.5
0,617,1067,245,287,59,12.5
0,862,1067,253,294,59,11
0,1115,1083,261,300,64,10.5
0,1376,1151,182,291,106,18.5
0,1558,1151,136,294,128.5,19.5
0,1694,1151,218,287,69.5,25.5
0,1912,1151,111,112,0,0
0,0,1198,143,130,0,0.5
0,143,1229,190,138,8.5,3
0,333,1354,286,145,36.5,3
0,619,1361,302,147,41.5,4
0,921,1383,269,151,25.5,6.5
0,1190,1442,299,151,41,4.5
0,1489,1445,293,147,36.5,3
0,0,1367,270,141,24.5,3.5
0,270,1499,293,145,36.5,4.5
0,563,1508,303,147,37,4
0,866,1534,271,146,24.5,3.5
0,1137,1593,296,149,37.5,2.5
0,1433,1593,320,145,44.5,2
0,1753,1592,259,146,16.5,2.5
0,0,1508,75,79,2.5,3
0,75,1508,63,66,0.5,2
0,138,1508,57,59,0.5,1
0,195,1508,61,60,1.5,2
0,256,1644,55,55,0.5,1.5
0,311,1644,52,50,1.5,2.5
0,363,1644,119,118,0,0
0,482,1655,114,113,0,0
0,596,1655,107,107,0,0
0,703,1655,98,97,0,0
0,801,1680,82,80,0,0
0,883,1680,88,92,1,0.5
0,971,1680,92,89,2,0.5
0,1063,1742,99,97,2.5,0.5
0,1162,1742,109,106,3,1
0,1271,1742,115,113,2,1
0,1386,1742,118,116,1,2
0,1504,1738,152,152,0,0
0,1656,1738,146,144,0,0
0,1802,1738,138,138,0,0
0,0,1587,126,125,0,0
0,126,1574,105,101,0,0
0,231,1699,121,65,0,0
0,352,1768,134,66,3,0.5
0,486,1768,131,66,3,3
0,617,1762,136,66,6.5,1
0,753,1772,131,66,4,0.5
0,884,1772,122,64,-0.5,0
0,1006,1839,119,65,-0.5,1
0,1125,1848,121,64,-0.5,0
0,1246,1855,63,73,0,0
0,1309,1855,69,82,0,2
0,1378,1858,94,90,0,0
0,1472,1890,105,99,0,0
1,0,0,306,325,1,-1
1,306,0,443,447,2,-1
1,749,0,467,473,2.5,-0.5
1,1216,0,490,495,0,0.5
1,0,447,527,539,9,-1.5
1,527,473,580,583,5.5,0.5
1,1107,495,611,607,0,0
1,0,1056,670,629,3,-0.5
1,670,1102,715,656,2.5,-0.5
2,0,0,742,660,-1.5,-1.5
2,742,0,763,675,-4,-3
2,0,675,749,678,3.5,-2
2,749,675,761,684,6.5,-1
2,0,1359,754,686,2,-1.5
2,754,1359,774,690,4,-0.5
