bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,63,62,-4,1
0,63,0,56,60,0,-1
0,119,0,61,62,0,0
0,180,0,66,67,0,1
0,246,0,70,69,1,2
0,316,0,74,69,2,2
0,390,0,76,69,2,2
0,466,0,74,63,1,0
0,540,0,76,54,4,5
0,616,0,79,58,4,6
0,695,0,79,61,4,6
0,774,0,80,59,4,3
0,854,0,51,54,0,0
0,905,0,46,54,0,1
0,951,0,43,54,2,0
0,0,62,47,54,0,0
0,47,62,51,54,0,1
0,98,62,42,54,2,1
0,140,62,38,54,1,1
0,178,67,47,54,2,1
0,225,69,65,73,1,0
0,290,69,87,99,0,2
0,377,69,94,105,1,3
0,471,63,95,109,1,2
0,566,58,79,82,0,0
0,645,61,67,83,0,0
0,712,61,62,81,0,0
0,774,59,70,82,-2,0
0,844,59,77,83,-1,0
0,921,54,61,83,0,0
0,0,116,56,83,0,0
0,56,116,69,83,0,0
0,125,121,97,109,1,1
0,222,168,130,147,0,1
0,352,174,140,157,1,3
0,492,172,145,166,2,2
0,637,144,71,69,-7,0
0,708,144,63,67,-3,-2
0,771,142,69,70,-2,-1
0,840,142,74,76,-1,0
0,914,142,79,78,0,1
0,0,199,85,79,0,2
0,85,230,85,79,1,1
0,170,315,85,72,-1,-1
0,255,315,84,62,3,6
0,339,331,90,65,4,6
0,429,338,90,68,4,6
0,519,338,92,67,3,3
0,611,338,71,81,0,0
0,682,213,78,90,0,2
0,760,218,101,96,3,0
0,861,220,112,105,0,0
