bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,77,58,0.5,-0.5
0,77,0,80,54,0.5,-1.5
0,157,0,72,58,0,0.5
0,229,0,77,52,-0.5,-2.5
0,306,0,80,52,0,-2
0,386,0,73,55,0,-0.5
0,459,0,149,123,9,0.5
0,608,0,186,169,6,-0.5
0,794,0,199,179,4.5,3
0,993,0,210,185,7,1
0,1203,0,223,189,6.5,1
0,1426,0,205,180,14,3.5
0,1631,0,214,209,4,6
0,0,58,311,300,1,2
0,311,169,343,331,0.5,1
0,654,185,364,360,1,2
0,1018,189,372,362,-0.5,1
0,1390,209,374,370,-1.5,0.5
0,0,500,387,376,-1.5,1.5
0,387,545,390,381,-1.5,-0.5
0,777,551,388,383,5.5,0
0,1165,579,384,387,6,0
0,1549,579,395,389,5.5,-2
0,0,926,392,394,4.5,-1.5
0,392,934,403,394,6.5,-4.5
0,795,966,401,385,7.5,1
0,1196,966,110,118,0,0
0,1306,966,111,117,0,0
0,1417,966,116,115,0,0
0,1533,968,119,109,0,0
0,1652,968,122,107,0,0
0,1774,968,120,111,0,0
0,1894,968,118,116,0,0
0,0,1320,111,116,0,0
0,111,1320,55,54,0,0
0,166,1320,53,53,0,0
0,219,1320,52,51,0,0
0,271,1320,51,52,0,0
0,322,1320,49,49,0,0
0,371,1328,48,49,0,0
0,419,1328,44,45,0,0
0,463,1328,40,41,0,0
0,503,1328,38,38,0,0
0,541,1328,34,34,0,0
0,575,1328,51,52,0,0
0,626,1328,50,50,0,0
0,676,1328,49,48,0,0
0,725,1328,48,48,0,0
0,773,1351,46,46,0,0
0,819,1351,44,43,0,0
0,863,1351,41,41,0,0
0,904,1351,37,38,0,0
0,941,1351,35,36,0,0
0,976,1351,49,49,0,0
0,1025,1351,48,48,0,0
0,1073,1351,47,47,0,0
0,1120,1351,44,44,0,0
0,1164,1351,44,43,0,0
0,1208,1084,41,41,0,0
0,1249,1084,39,40,0,0
0,1288,1084,35,34,0,0
0,1323,1083,63,74,0,0
0,1386,1083,65,71,0,0
0,1451,1081,70,68,0,0
0,1521,1081,73,64,0,0
0,1594,1077,75,63,0,0
0,1669,1075,73,69,0,0
0,1742,1079,66,73,0,0
0,1808,1079,66,72,0,0
0,1874,1084,71,69,0,0
0,1945,1084,73,65,0,0
0,0,1436,74,65,0,0
0,74,1436,63,73,0,0
0,137,1374,69,82,0,2
0,206,1373,94,90,0,0
0,300,1377,105,99,0,0
