bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,84,72,0,0,
0,84,0,95,93,0,0,
0,179,0,169,167,0,0,
0,348,0,236,243,0,0,
0,584,0,261,274,0,0,
0,845,0,263,283,-1,-2,
0,1108,0,306,287,0,0,
0,1414,0,356,327,0,4,
0,0,243,409,382,0,-3,
0,409,283,452,416,-2,-6,
0,861,287,496,441,-2,-6,
0,1357,327,517,458,-4,-6,
0,0,699,527,472,2,-9,
0,527,728,508,484,-17,-10,
0,1035,785,480,475,6,3,
0,1515,785,490,485,6,1,
0,0,1171,469,197,119,0,
0,469,1212,398,188,85,0,
0,867,1260,426,183,101,-3,
0,1293,1270,441,188,105,-5,
0,0,1368,406,204,91,-2,
0,406,1400,412,200,90,-4,
0,818,1443,419,185,94,-5,
0,1237,1458,447,183,111,-6,
0,1684,1458,47,41,-3,1,
0,1731,1458,78,43,0,0,
0,1809,1364,159,43,26,2,
0,0,1572,149,43,23,2,
0,149,1572,144,43,21,1,
0,293,1600,159,43,28,3,
0,452,1600,135,43,16,1,
0,587,1600,126,41,11,1,
0,713,1600,63,73,0,0,
0,776,1628,69,82,0,2,
0,845,1628,94,90,3,0,
0,939,1628,105,99,0,0,
