bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,133,122,1,0
0,133,0,139,139,3,-1
0,272,0,160,148,5,0
0,432,0,158,149,4,-1
0,590,0,167,154,3,0
0,757,0,173,163,3,2
0,0,122,116,68,-1,1
0,116,139,110,66,2,0
0,226,148,110,66,-3,0
0,336,149,110,62,3,-2
0,446,149,112,88,0,13
0,558,154,108,69,0,0
0,666,163,110,62,1,-2
0,776,163,118,61,6,-2
0,894,163,111,60,0,-1
0,0,190,115,65,1,1
0,115,214,204,202,-1,0
0,319,237,223,222,0,-2
0,542,237,236,243,0,0
0,0,639,252,257,0,-3
0,252,639,263,265,0,-1
0,515,578,271,273,-2,-2
0,0,904,283,285,0,-3
0,283,904,285,289,-1,-2
0,568,851,89,84,0,0
0,657,851,114,110,2,2
0,771,851,156,149,0,0
0,0,1189,161,158,2,2
0,161,1193,156,161,2,0
0,317,1193,154,167,0,2
0,471,1193,157,159,2,2
0,628,1000,158,191,2,19
0,786,1000,164,152,-3,1
0,0,1354,165,152,2,2
0,165,1360,169,150,4,0
0,334,1360,170,142,0,0
0,504,1352,167,145,3,1
0,671,1191,161,152,2,0
0,832,1152,63,73,0,0
0,895,1152,69,82,0,2
0,0,1506,94,90,3,0
0,94,1510,105,99,0,0
