bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,140,134,0,0
0,140,0,203,207,-6,1
0,343,0,268,254,0,-8
0,611,0,321,298,1,-3
0,0,207,343,325,0,-2
0,343,298,354,338,-1,-5
0,697,298,163,160,3,0
0,860,298,161,134,0,0
0,0,532,161,122,0,4
0,161,532,160,112,-1,6
0,321,636,158,115,-1,0
0,479,636,60,93,50,4
0,539,636,73,142,52,3
0,612,636,84,161,39,9
0,696,636,124,175,17,15
0,820,458,157,138,1,7
0,0,654,91,122,0,0
0,91,654,122,114,1,3
0,213,751,136,116,-1,7
0,349,751,171,120,17,6
0,520,811,185,122,17,5
0,705,811,180,123,14,2
0,0,776,204,121,24,2
0,204,871,206,125,24,7
0,410,933,212,122,25,6
0,622,934,211,124,25,4
0,833,934,188,133,17,0
0,0,897,182,143,21,4
0,182,996,174,148,24,3
0,356,1055,175,149,24,5
0,531,1058,174,147,27,3
0,705,1067,169,140,32,1
0,0,1040,167,134,31,0
0,167,1144,144,114,41,0
0,311,1204,90,80,4,2
0,401,1204,103,88,4,1
0,504,1205,113,93,4,2
0,617,1207,117,96,5,3
0,734,1207,109,110,6,0
0,843,1207,138,116,7,-2
0,0,1174,152,132,6,-3
0,152,1258,146,138,6,-3
0,298,1284,96,99,1,1
0,394,1292,104,102,1,0
0,498,1298,70,65,0,0
0,568,1303,68,61,0,2
0,636,1303,68,58,-1,1
0,704,1317,68,60,0,0
0,772,1323,97,90,2,1
0,869,1323,64,48,0,0
0,933,1323,77,67,-2,0
0,0,1306,84,77,-1,0
0,84,1396,88,85,-1,0
0,172,1396,84,70,-4,1
0,256,1396,96,88,-5,2
0,352,1394,64,62,-6,1
0,416,1394,69,67,-6,1
0,485,1394,73,73,-6,2
0,558,1364,76,75,-6,2
0,634,1364,62,32,0,0
0,696,1377,61,32,0,0
0,757,1413,61,31,0,0
0,818,1413,61,32,0,0
0,879,1390,73,53,0,0
0,0,1481,161,149,0,0
0,161,1484,119,86,0,0
0,280,1484,63,73,0,0
0,343,1484,69,82,0,2
0,412,1467,94,90,3,0
0,506,1467,105,99,0,0
