bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,81,66,0,0,
0,81,0,81,66,0,0,
0,162,0,81,66,0,0,
0,243,0,81,66,0,0,
0,324,0,81,66,0,0,
0,405,0,81,66,0,4,
0,0,66,81,66,0,3,
0,81,66,81,66,0,1,
0,162,66,81,66,0,-2,
0,243,66,81,66,0,-1,
0,324,66,81,66,0,-1,
0,405,66,78,63,0,0,
0,0,132,78,63,0,0,
0,78,132,78,63,0,0,
0,156,132,78,63,0,0,
0,234,132,78,63,0,0,
0,312,132,78,63,0,0,
0,390,132,78,63,0,0,
0,0,195,78,63,0,0,
0,78,195,78,63,0,0,
0,156,195,78,63,0,0,
0,234,195,78,63,0,0,
0,312,195,78,63,0,0,
0,390,195,78,63,0,0,
0,0,258,78,63,0,0,
0,78,258,78,63,0,0,
0,156,258,78,63,0,0,
0,234,258,78,63,0,0,
0,312,258,78,63,0,0,
0,390,258,78,63,0,0,
0,0,321,78,63,0,0,
0,78,321,78,63,0,0,
0,156,321,78,63,0,0,
0,234,321,78,63,0,0,
0,312,321,40,33,0,0,
0,352,321,40,33,0,0,
0,392,321,40,33,0,0,
0,432,321,40,33,0,0,
0,0,384,40,33,0,0,
0,40,384,40,33,0,0,
0,0,417,32,32,1,1,
0,32,417,35,35,1,0,
0,67,417,42,42,1,0,
0,109,401,26,14,1,-4,
