bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,25,24,1,1
0,25,0,25,24,1,2
0,50,0,25,24,1,1
0,75,0,25,24,1,1
0,100,0,25,24,1,2
0,125,0,25,24,1,1
0,150,0,25,24,1,1
0,175,0,23,27,-3,6
0,198,0,23,27,-2,5
0,221,0,23,27,-2,5
0,244,0,23,27,-2,7
0,267,0,23,27,-2,6
0,290,0,23,27,-1,6
0,313,0,23,27,-2,4
0,336,0,23,27,-2,6
0,359,0,23,27,-3,4
0,382,0,23,27,-1,5
0,0,27,478,24,0,0
0,0,51,478,24,0,0
0,478,39,21,17,2,1
0,0,75,21,17,2,1
0,21,75,21,17,1,1
0,42,75,461,104,0,0
0,0,179,57,58,0,0
0,57,179,57,58,0,0
0,114,179,57,58,0,0
0,171,179,57,58,1,0
0,228,179,80,80,2,1
0,308,179,73,73,1,0
0,381,179,73,73,1,0
0,0,237,73,73,2,0
0,73,237,73,73,1,0
0,146,237,73,73,1,0
0,219,259,73,73,2,0
0,292,259,73,73,1,0
0,365,252,73,73,1,0
0,438,252,45,50,0,0
0,0,310,45,50,0,0
0,45,310,45,50,0,-1
0,90,310,45,50,0,0
0,135,310,79,79,0,0
0,214,332,79,79,0,0
0,293,332,79,79,0,0
0,372,325,79,79,0,0
0,0,360,79,79,0,0
0,79,389,80,80,1,0
0,159,411,100,100,2,1
0,259,411,100,100,3,1
0,359,411,100,100,2,0
0,483,429,11,19,0,0
0,485,455,18,15,0,0
