bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,117,160,0,0
0,117,0,115,158,1.5,0
0,232,0,116,162,1.5,0
0,348,0,116,158,1,0
0,464,0,117,157,1,0
0,581,0,116,162,1,0.5
0,697,0,119,163,0.5,-0.5
0,816,0,117,160,1,0
0,933,0,117,156,0.5,-0.5
0,1050,0,117,157,0.5,-1.5
0,1167,0,117,155,0.5,-2
0,1284,0,117,159,-0.5,-1.5
0,1401,0,115,160,1,-1
0,1516,0,117,160,2,-0.5
0,1633,0,117,157,1.5,0.5
0,1750,0,117,160,1,1
0,1867,0,118,159,2,0.5
0,0,160,113,163,1.5,0
0,113,160,113,161,0,0
0,226,162,115,161,1,0
0,341,162,117,159,0.5,0
0,458,158,116,156,0.5,-1
0,574,162,116,157,1,-0.5
0,690,163,117,157,0.5,-1
0,807,163,171,182,-7.5,0
0,978,157,179,182,-5.5,-0.5
0,1157,159,194,182,0,1
0,1351,160,196,178,2,2.5
0,1547,160,198,166,2,7
0,1745,160,196,160,1,10
0,0,323,191,156,0,10.5
0,191,323,197,160,-1.5,9
0,388,321,193,165,1,8
0,581,320,191,174,2.5,4
0,772,345,188,184,6,-5.5
0,960,345,179,181,2,-4.5
0,1139,341,173,178,1,2
0,1312,341,170,170,-1.5,6.5
0,1482,338,170,162,-2.5,9
0,1652,326,168,155,-1.5,14
0,1820,320,175,155,-4,15
0,0,479,169,152,-3.5,14.5
0,169,483,195,156,7,13
0,364,486,174,168,-7,5
0,538,494,211,145,8,10
0,749,529,226,145,10,10.5
0,975,526,228,145,11,10
0,1203,519,232,147,12.5,9.5
0,1435,511,222,143,8,10
0,1657,481,219,141,6.5,11
0,0,639,215,141,2,10.5
0,215,654,223,142,8.5,11.5
0,438,654,228,146,10,11.5
0,666,674,232,148,11.5,12
0,898,674,221,149,10,11
0,1119,671,210,150,11,13
0,1329,666,197,151,10.5,12.5
0,1526,654,206,152,13,13
0,1732,622,211,160,14.5,10.5
0,0,796,217,151,18,14.5
0,217,796,208,153,14.5,13.5
0,425,800,202,157,13,13
0,627,822,200,154,11,12
0,827,823,212,152,15,9.5
0,1039,823,218,149,16.5,11
0,1257,821,226,149,19,10
0,1483,817,220,148,12,9.5
0,1703,806,214,145,9.5,9.5
0,0,947,145,142,1.5,21.5
0,145,949,150,135,2,19
0,295,957,152,123,1.5,14.5
0,447,957,150,119,2.5,13.5
0,597,976,154,120,3.5,14
0,751,976,148,131,5.5,18
0,899,975,151,131,6,21
0,1050,972,148,133,7,22.5
0,1198,972,140,134,4,24.5
0,1338,970,133,135,0.5,23.5
0,1471,970,133,137,0,23
0,1604,965,133,135,0,21.5
0,1737,951,133,130,1.5,17.5
0,1870,951,134,120,1,12.5
0,0,1089,132,115,2,10
0,132,1089,138,135,5.5,21.5
0,270,1084,141,142,6.5,24.5
0,411,1080,145,144,5.5,27.5
0,556,1096,147,147,7,27
0,703,1107,146,145,6,27.5
0,849,1107,146,143,4.5,27
0,995,1106,144,142,2.5,23
0,1139,1106,60,61,0,0
0,1199,1106,60,58,0,0
0,1259,1106,60,58,0,0
0,1319,1106,59,58,0,0
0,1378,1105,60,57,0,0
0,1438,1107,60,58,0,0
0,1498,1107,60,58,0,0
0,1558,1107,59,58,0,0
0,1617,1100,59,57,0.5,0
0,1676,1100,60,56,0,0
0,1736,1100,61,58,0,0
0,1797,1081,59,59,0,0
0,1856,1081,60,61,0,0
0,1916,1071,60,58,0,0
0,1976,1071,59,57,0,0
0,0,1204,60,58,0,0
0,60,1204,61,58,0,0
0,121,1224,61,57,0,0
0,182,1224,58,57,0,0
0,240,1226,60,59,0,0
0,300,1226,59,59,0,0
0,359,1226,59,58,0,-0.5
0,418,1224,58,58,0,0
0,476,1224,59,58,0.5,0
1,0,0,338,265,0,10
1,338,0,332,259,-1,10.5
1,670,0,322,263,-4,10
1,992,0,331,260,-5.5,11.5
1,1323,0,324,263,-5.5,12.5
1,1647,0,325,263,-6,11
1,0,265,327,261,-7.5,8.5
1,327,265,328,264,-8,8.5
1,655,263,330,259,-7,9
1,985,263,330,261,-6.5,10
1,1315,263,329,262,-4,9.5
1,1644,263,331,260,-5,9.5
1,0,529,328,259,-4,8
1,328,529,328,257,-4,8.5
1,656,524,334,263,-5,4.5
1,990,525,334,254,-5,7
1,1324,525,334,255,-4.5,6
1,1658,523,345,256,1,7.5
1,0,788,343,260,4,9
1,343,787,352,259,6,9.5
1,695,787,348,257,4,8
1,1043,780,348,258,1,7.5
1,1391,780,339,254,-1,6
1,0,1048,344,256,-2,8.5
1,344,1046,337,256,3.5,9.5
