bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,194,255,0,0
0,194,0,192,256,0,-1
0,386,0,188,258,0.5,-1.5
0,574,0,190,258,2,-2
0,764,0,192,258,3.5,-2.5
0,956,0,188,255,2.5,-2
0,1144,0,188,254,2.5,0
0,1332,0,186,255,2.5,0
0,1518,0,186,253,0,1
0,1704,0,178,258,-2,-2
0,0,255,175,256,-2.5,-0.5
0,175,256,180,255,0,3
0,355,258,191,252,3.5,4.5
0,546,258,191,249,5,6
0,737,258,195,248,4,6.5
0,932,258,207,247,3.5,6
0,1139,255,215,251,6,6
0,1354,255,213,261,7.5,-1
0,1567,258,208,250,7.5,3.5
0,1775,258,208,252,7.5,3
0,0,511,199,253,2,1.5
0,199,511,195,256,1.5,0
0,394,510,193,256,2,-1.5
0,587,507,195,253,1,-1.5
0,782,506,195,254,0,-0.5
0,977,506,192,255,0,-1.5
0,1169,516,188,257,0.5,-2.5
0,1357,516,189,258,1.5,-3
0,1546,516,192,257,3.5,-4
0,1738,510,188,256,2,-4
0,0,764,188,253,2.5,-3
0,188,767,186,255,2.5,-2.5
0,374,767,186,252,0,-0.5
0,560,766,173,258,-4.5,-2
0,733,760,196,256,6,1
0,929,761,210,254,1,3.5
0,1139,773,218,252,5,5
0,1357,774,238,248,6.5,5.5
0,1595,773,250,248,5,6.5
0,0,1022,244,246,3,5
0,244,1022,229,250,2,5.5
0,473,1024,211,260,1,-0.5
0,684,1024,215,250,0.5,4.5
0,899,1016,220,252,0.5,4
0,1119,1025,222,253,2,2.5
0,1341,1025,222,255,0,1
0,1563,1022,224,256,-1.5,0.5
0,1787,1021,224,253,-1.5,0
0,0,1268,220,254,0,0
0,220,1272,216,256,2.5,-1.5
0,436,1284,210,257,-2,-2
0,646,1284,202,258,0.5,-2.5
0,848,1274,210,257,5.5,-3
0,1058,1278,210,256,8.5,-4
0,1268,1280,189,253,4.5,-2.5
0,1457,1280,181,255,0.5,-2
0,1638,1278,180,252,-2.5,-1
0,1818,1274,177,258,-2,-3.5
0,0,1522,174,256,-2,-0.5
0,174,1528,191,254,6.5,2.5
0,365,1541,190,252,4,4
0,555,1542,190,248,5.5,5.5
0,745,1542,195,248,4.5,6
0,940,1534,206,246,3,5.5
1,0,0,199,244,4.5,-1.5
1,199,0,197,234,6,-2.5
1,396,0,192,227,6.5,-3
1,588,0,197,227,5,-3.5
1,785,0,190,225,2,-3.5
1,975,0,197,224,7,-4.5
1,1172,0,182,224,-1,-6
1,1354,0,183,221,-1.5,-5.5
1,1537,0,182,220,-0.5,-5
1,1719,0,193,241,3.5,-9.5
1,0,244,191,258,3.5,-11.5
1,191,244,193,482,0,83
1,384,234,238,570,-4,114
1,622,227,231,733,-4,197
1,853,225,280,809,-2,230
1,1133,224,330,847,-1.5,250.5
1,1463,241,364,858,7.5,256
1,0,804,413,869,6,261
1,413,1034,443,856,-4,256.5
1,856,1071,466,856,-6.5,261.5
1,1322,1099,514,802,-9,232.5
2,0,0,533,846,-5.5,251.5
2,533,0,542,859,-5.5,257
2,1075,0,547,866,-7,262.5
2,0,859,554,855,-5.5,255.5
2,554,866,555,860,-5,256.5
2,1109,866,557,804,-5,227.5
3,0,0,424,841,0,250
3,424,0,407,852,14,256.5
3,831,0,224,869,-6,261
3,1055,0,221,856,-6.5,255
3,1276,0,210,860,-6,257
3,1486,0,208,805,-6,228.5
3,1694,0,219,844,-4.5,250.5
3,0,841,221,855,-4,258.5
3,221,852,225,864,-5,265
3,446,852,225,853,-5,258.5
3,671,869,220,860,-5.5,258
3,891,869,225,806,-6.5,229.5
3,1116,860,230,841,-6,249.5
3,1346,860,231,853,-5,254
3,1577,844,230,869,-4.5,260
3,1807,844,235,856,-5.5,254
4,0,0,231,856,-3,258
4,231,0,228,816,-3.5,239.5
4,459,0,235,802,-5.5,235
4,694,0,230,816,-4.5,248.5
4,924,0,220,804,-2,251
4,1144,0,207,817,2.5,264.5
4,1351,0,198,261,1.5,-6.5
4,1549,0,194,255,2,-2.5
4,1743,0,194,254,2,-2.5
