bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,92,259,0,0, legendary_ghost_down_beam_0001
0,92,0,97,336,0,0, legendary_ghost_down_beam_0002
0,189,0,108,501,0,0, legendary_ghost_down_beam_0003
0,297,0,123,571,0,0, legendary_ghost_down_beam_0004
0,420,0,140,610,0,0, legendary_ghost_down_beam_0005
0,560,0,163,627,0,0, legendary_ghost_down_beam_0006
0,723,0,184,635,0,0, legendary_ghost_down_beam_0007
0,907,0,200,621,0,0, legendary_ghost_down_beam_0008
0,1107,0,208,635,0,0, legendary_ghost_down_beam_0009
0,1315,0,177,569,0,0, legendary_ghost_down_beam_0010
0,1492,0,176,610,0,0, legendary_ghost_down_beam_0011
0,1668,0,136,627,0,0, legendary_ghost_down_beam_0012
0,1804,0,131,635,0,0, legendary_ghost_down_beam_0013
0,0,336,138,621,0,0, legendary_ghost_down_beam_0014
0,138,501,139,625,0,0, legendary_ghost_down_beam_0015
0,277,571,143,573,0,0, legendary_ghost_down_beam_0016
0,420,627,147,614,0,0, legendary_ghost_down_beam_0017
0,567,627,132,627,0,0, legendary_ghost_down_beam_0018
0,699,635,140,635,0,0, legendary_ghost_down_beam_0019
0,839,635,139,622,0,0, legendary_ghost_down_beam_0020
0,978,635,168,625,0,0, legendary_ghost_down_beam_0021
0,1146,635,169,569,0,0, legendary_ghost_down_beam_0022
0,1315,610,179,619,0,0, legendary_ghost_down_beam_0023
0,1494,610,144,627,0,0, legendary_ghost_down_beam_0024
0,1638,627,131,635,0,0, legendary_ghost_down_beam_0025
0,1769,635,112,621,0,0, legendary_ghost_down_beam_0026
0,1881,635,114,625,0,0, legendary_ghost_down_beam_0027
0,0,957,112,569,0,0, legendary_ghost_down_beam_0028
0,112,1126,128,609,0,0, legendary_ghost_down_beam_0029
0,240,1144,155,627,0,0, legendary_ghost_down_beam_0030
0,395,1254,184,635,0,0, legendary_ghost_down_beam_0031
0,579,1270,200,621,0,0, legendary_ghost_down_beam_0032
0,779,1270,208,635,0,0, legendary_ghost_down_beam_0033
0,987,1260,183,585,0,0, legendary_ghost_down_beam_0034
0,1170,1204,85,501,0,0, legendary_ghost_down_beam_0035
0,1255,1229,95,487,0,0, legendary_ghost_down_beam_0036
