bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,116,114,2.5,3.5
0,116,0,114,115,2,3
0,230,0,114,116,0,4
0,344,0,115,145,0.5,1.5
0,459,0,117,155,0,0
0,576,0,117,177,-0.5,0.5
0,693,0,113,181,-2.5,0
0,806,0,189,232,1.5,6
0,995,0,200,251,1.5,1.5
0,1195,0,199,258,-1,-0.5
0,1394,0,135,36,0,0
0,1529,0,126,69,-0.5,17.5
0,1655,0,105,116,-1,41.5
0,1760,0,114,104,0.5,35.5
0,1874,0,116,98,0,32.5
0,0,115,121,94,-0.5,30
0,121,116,130,115,-17.5,-9.5
0,251,145,118,113,0,4.5
0,369,155,127,128,1.5,2
0,496,177,142,145,0.5,2
0,638,181,165,160,1,3.5
0,803,232,172,166,1.5,3
0,975,251,162,164,0.5,3
0,1137,258,176,174,0.5,3.5
0,1313,258,190,180,-2,2.5
0,1503,116,196,192,-3,2.5
0,1699,116,202,197,0,1
0,0,231,206,200,-0.5,0.5
0,206,283,209,204,-0.5,0.5
0,415,322,214,207,2,1.5
0,629,341,83,135,0,0
0,712,341,90,138,1,-1.5
0,802,398,156,197,32.5,-28.5
0,958,415,157,204,31.5,-30.5
0,1115,432,181,208,23.5,-28.5
0,1296,438,188,213,24.5,-30
0,1484,438,201,218,28,-36
0,1685,313,209,221,30.5,-36
0,0,487,214,228,30,-37.5
0,214,487,198,244,28,-35.5
0,412,529,164,251,9.5,-41
0,576,529,164,250,11,-48
0,740,595,145,255,4.5,-54.5
0,885,619,156,259,0.5,-57.5
0,1041,640,179,133,3.5,-12
0,1220,651,182,139,4.5,-14.5
0,1402,656,184,140,5.5,-14.5
