bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,256,266,0,14.5
0,256,0,256,266,0,0
0,512,0,256,266,0,-1
0,768,0,256,266,0,-0.5
0,1024,0,256,266,0,0
0,1280,0,256,266,-1,-0.5
0,1536,0,256,266,-3,0
0,1792,0,256,266,-5,0
0,0,266,256,266,-6,0.5
0,256,266,256,266,0,0.5
0,512,266,256,266,0,0.5
0,768,266,256,266,0,0
0,1024,266,256,266,0,0
0,1280,266,256,266,0,0
0,1536,266,256,266,0,0
0,1792,266,256,266,0,0
0,0,532,256,266,0,0
0,256,532,256,266,0,0
0,512,532,256,266,0,0
0,768,532,256,266,0,0
0,1024,532,256,266,0,0
0,1280,532,256,266,0,0
0,1536,532,256,266,0,0
0,1792,532,256,266,0,0
0,0,798,256,266,0,0
0,256,798,256,266,0,0
0,512,798,256,266,0,0
0,768,798,256,266,0,0
0,1024,798,256,266,0,0
0,1280,798,256,266,0,0
0,1536,798,256,266,0,0
0,1792,798,256,266,0,0
0,0,1064,256,266,0,0
0,256,1064,256,266,0,0
0,512,1064,256,266,0,0
0,768,1064,256,266,0,0
0,1024,1064,256,266,0,0
0,1280,1064,256,266,0,0
0,1536,1064,256,266,0,0
0,1792,1064,256,266,0,0
0,0,1330,256,266,0,0
0,256,1330,256,266,0,0
0,512,1330,256,266,-10.5,1
0,768,1330,256,266,-10.5,1
0,1024,1330,256,266,-10.5,1
0,1280,1330,256,266,-11.5,1
0,1536,1330,256,266,-11.5,0.5
0,1792,1330,256,266,-11.5,0.5
0,0,1596,256,266,-11.5,0
0,256,1596,256,266,-11.5,0
0,512,1596,256,266,-11.5,0
0,768,1596,256,266,-11.5,-0.5
0,1024,1596,256,266,-11.5,-0.5
0,1280,1596,256,266,-11.5,-1
0,1536,1596,256,266,-11.5,-1
0,1792,1596,256,266,-12,-0.5
1,0,0,256,266,-12,-0.5
1,256,0,256,266,-12,0
1,512,0,256,266,-11,0
1,768,0,256,266,-11,0
1,1024,0,256,266,-9.5,-1
1,1280,0,256,266,-8.5,-1
1,1536,0,256,266,-9,-1
1,1792,0,256,266,-9,-1
1,0,266,256,266,-9,-0.5
1,256,266,256,266,-9,-2
1,512,266,256,266,-9,-1
1,768,266,256,266,-9,-1
1,1024,266,256,266,-8,-1
1,1280,266,256,266,-7,-2
1,1536,266,256,266,-7,-2.5
1,1792,266,256,266,-7,-2.5
1,0,532,256,266,-7,-3
1,256,532,256,266,-7,-3.5
1,512,532,256,266,-7,-3
1,768,532,256,266,-6.5,-3.5
1,1024,532,256,266,-7.5,-2.5
1,1280,532,256,266,-7.5,-1
1,1536,532,256,266,-8.5,-1
1,1792,532,256,266,-9.5,-1
1,0,798,256,266,-9.5,-0.5
1,256,798,256,266,-11.5,0
1,512,798,256,266,-11.5,-0.5
1,768,798,256,266,-11.5,-0.5
1,1024,798,256,266,-11.5,-0.5
1,1280,798,256,266,-11.5,-0.5
1,1536,798,256,266,-11.5,-0.5
1,1792,798,256,266,-0.5,-1
1,0,1064,256,266,-0.5,-1
1,256,1064,256,266,-0.5,-1
1,512,1064,256,266,-0.5,-1
1,768,1064,256,266,-0.5,-1
1,1024,1064,256,266,-0.5,-1
1,1280,1064,256,266,-0.5,-1
1,1536,1064,256,266,-0.5,-1
1,1792,1064,256,266,-0.5,-1
1,0,1330,256,266,-0.5,-1
1,256,1330,256,266,-0.5,-1
1,512,1330,256,266,-0.5,-1
1,768,1330,256,266,-0.5,-1
1,1024,1330,256,266,-0.5,-1
1,1280,1330,256,266,-0.5,-1
1,1536,1330,256,266,-0.5,-1
1,1792,1330,256,266,-0.5,-1
1,0,1596,256,266,-0.5,-1
1,256,1596,256,266,-0.5,-1
1,512,1596,256,266,-0.5,-1
1,768,1596,256,266,-0.5,-1
1,1024,1596,256,266,-0.5,-1
1,1280,1596,256,266,-0.5,-1
1,1536,1596,256,266,-0.5,-1
1,1792,1596,256,266,-0.5,-1
2,0,0,256,266,-0.5,-1
2,256,0,256,266,-0.5,-1
2,512,0,256,266,-0.5,-1
2,768,0,256,266,-0.5,-1
2,0,266,256,266,-0.5,-1
2,256,266,256,266,-0.5,-1
2,512,266,256,266,-0.5,-1
2,768,266,256,266,0,-1
