bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,67,140,0,0, level_coin_0001
0,67,0,71,139,0,0, level_coin_0002
0,138,0,75,141,0,0, level_coin_0003
0,213,0,82,139,0,0, level_coin_0004
0,295,0,89,141,0,0, level_coin_0005
0,384,0,91,141,0,0, level_coin_0006
0,0,140,94,140,0,0, level_coin_0007
0,94,141,96,140,0,0, level_coin_0008
0,190,141,101,141,0,0, level_coin_0009
0,291,141,98,140,0,0, level_coin_0010
0,389,141,94,141,0,0, level_coin_0011
0,0,280,92,141,0,0, level_coin_0012
0,92,281,91,141,0,0, level_coin_0013
0,183,282,83,141,0,0, level_coin_0014
0,266,282,75,141,0,0, level_coin_0015
0,341,282,72,140,0,0, level_coin_0016
