bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,273,315,-14,-3,
0,273,0,455,481,-12,-4,
0,728,0,463,507,-8,-9,
0,1191,0,478,524,-6,-7,
0,0,481,483,544,-5,-10,
0,483,507,512,557,0,-10,
0,995,524,509,563,-4,-11,
0,1504,524,521,572,-2,-12,
0,0,1064,534,581,-4,-10,
0,534,1087,550,594,-2,-9,
0,1084,1096,556,605,-7,-12,
1,0,0,566,609,-4,-13,
1,566,0,579,618,-6,-11,
1,1145,0,580,626,-6,-11,
1,0,618,586,639,-8,-7,
1,586,626,583,647,3,-7,
1,1169,626,568,650,12,-6,
1,0,1257,567,652,10,-10,
1,567,1273,487,646,59,-8,
1,1054,1276,489,622,62,-5,
2,0,0,143,140,8,7,
2,143,0,248,277,31,-39,
2,391,0,308,287,-2,3,
2,699,0,379,339,-9,5,
2,1078,0,411,366,-15,-3,
2,1489,0,436,380,-15,-9,
2,0,287,447,399,-11,-4,
2,447,339,487,450,-13,-2,
2,934,366,479,477,-2,0,
2,1413,380,467,488,11,-1,
2,0,789,465,499,11,0,
2,465,843,480,519,7,-2,
2,945,868,489,534,10,-3,
2,1434,868,505,533,9,-2,
3,0,0,190,185,13,10,
3,190,0,372,440,12,-8,
3,562,0,424,492,1,-1,
3,986,0,482,557,14,-2,
3,1468,0,542,588,12,-4,
3,0,492,574,599,17,3,
3,574,557,609,624,16,2,
3,1183,588,623,637,16,0,
3,0,1181,665,657,18,0,
3,665,1225,672,670,20,-1,
3,1337,1225,681,681,19,0,
4,0,0,702,688,22,2,
4,702,0,614,578,68,-32,
4,1316,0,617,570,66,-40,
4,0,688,473,484,-15,11,
4,473,688,485,500,-14,12,
4,958,578,503,505,-13,8,
4,1461,570,522,520,-14,10,
4,0,1188,525,520,-18,8,
4,525,1188,537,534,-19,7,
4,1062,1090,554,546,-18,5,
5,0,0,562,545,-23,10,
6,0,0,564,546,-24,11,
