bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,66,92,0,0,
0,66,0,67,90,0,1,
0,133,0,66,92,1,1,
0,199,0,86,206,2,49,
0,285,0,86,206,2,49,
0,371,0,84,213,2,55,
0,455,0,82,217,2,59,
0,537,0,82,224,1,62,
0,619,0,81,244,2,70,
0,700,0,77,248,2,72,
0,777,0,74,252,2,74,
0,851,0,71,247,2,78,
0,922,0,71,233,2,79,
0,993,0,66,224,4,86,
0,1059,0,67,207,3,94,
0,1126,0,67,189,4,103,
0,1193,0,30,30,-142,67,
0,1223,0,53,86,-137,90,
0,1276,0,69,112,-140,93,
0,1345,0,84,132,-137,103,
0,1429,0,101,142,-132,109,
0,1530,0,112,146,-128,111,
0,1642,0,118,145,-125,112,
0,1760,0,126,139,-123,114,
0,1886,0,126,138,-120,114,
0,0,92,128,96,-97,125,
0,128,92,67,98,-48,109,
0,195,206,66,103,-31,88,
0,261,206,64,111,-7,32,
0,325,213,73,88,0,-2,
0,398,217,73,85,1,-3,
0,471,224,71,89,1,-1,
0,542,224,67,91,0,0,
0,609,244,68,92,0,0,
0,677,248,67,91,0,0,
0,744,252,170,272,1,-1,
0,914,247,165,269,4,-3,
0,1079,207,163,262,4,-7,
0,1242,132,168,266,5,-5,
0,1410,146,164,267,5,-4,
0,1574,146,163,265,5,-5,
0,1737,145,166,266,4,-4,
0,0,190,165,271,6,-2,
0,165,317,168,275,7,-1,
0,333,315,220,284,17,3,
0,553,524,222,279,36,0,
0,775,524,227,279,37,0,
0,1002,516,229,266,37,-7,
0,1231,469,234,272,39,-4,
0,1465,413,230,275,37,-2,
0,1695,411,232,275,37,-3,
0,0,592,232,275,35,-3,
0,232,599,227,275,35,-1,
0,459,803,218,274,28,-1,
0,677,803,197,275,16,-1,
0,874,803,174,272,0,-1,
0,1048,782,172,273,2,-1,
0,1220,782,170,273,1,-1,
0,1390,741,173,275,0,0,
0,1563,688,171,273,0,0,
0,1734,686,171,273,0,-1,
0,0,867,175,271,1,-2,
0,175,874,173,267,2,-4,
0,348,1077,175,266,3,-5,
0,523,1078,175,264,3,-5,
0,698,1078,172,273,-1,0,
0,870,1078,170,273,0,-1,
0,1040,1075,172,273,0,0,
0,1212,1055,173,272,0,-1,
0,1385,1055,174,275,-2,0,
0,1559,1016,162,274,1,0,
0,1721,961,163,276,2,0,
0,0,1138,164,273,1,1,
0,164,1141,163,274,1,1,
0,327,1343,161,277,1,1,
0,488,1343,169,274,-1,-1,
0,657,1351,171,272,1,-2,
0,828,1351,170,271,1,-4,
0,998,1351,166,274,2,-1,
0,1164,1348,166,274,1,0,
0,1330,1327,41,38,0,0,
0,1371,1330,56,70,9,15,
0,1427,1330,71,86,14,22,
0,1498,1330,92,103,21,32,
0,1590,1290,104,127,24,45,
0,1694,1290,121,133,28,49,
0,1815,1237,126,145,36,58,
0,0,1411,119,153,37,67,
0,119,1415,125,134,34,76,
0,244,1620,129,133,39,76,
0,373,1620,135,110,42,84,
0,508,1617,139,110,43,83,
0,647,1623,139,103,44,87,
0,786,1623,134,97,42,90,
0,920,1625,127,97,45,91,
0,1047,1625,93,97,61,91,
