bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,44,134, White Crotchet
0,46,0,42,139,2,3 
0,88,0,44,144,7,7 
0,132,0,47,151,13,10 
0,179,0,42,156,13,13 
0,223,0,42,165,13,16 
0,266,0,42,171,18,21 
0,311,0,44,180,24,26 
0,356,0,47,187,33,33
0,403,0,43,191,36,36 
0,446,3,48,196,41,39
0,494,0,58,207,48,46
0,553,0,67,213,54,50
0,620,0,71,219,58,55
0,691,0,76,221,63,55
0,768,0,74,224,60,60
0,841,0,82,227,66,62
0,0,141,83,228,64,63
0,923,0,88,230,67,64
0,85,145,46,133,0,-1, White Semiquaver
0,130,152,44,139,4,3
0,176,157,43,145,7,7
0,221,167,44,149,10,8
0,268,172,42,155,13,13
0,311,181,43,164,14,15
0,356,188,43,171,18,21
0,401,192,44,179,24,25
0,448,209,50,187,35,33
0,500,216,46,190,38,35
0,548,217,51,197,42,40
0,602,220,59,207,49,46
0,664,223,66,213,54,50
0,733,227,71,218,58,55
0,807,230,76,219,63,54
0,889,235,76,223,61,59
0,0,375,82,224,66,61
0,86,294,82,228,63,63
0,177,319,85,230,64,64
0,272,349,46,133,0,-1, White beamed
0,321,360,43,139,3,3
0,367,374,43,145,7,7
0,414,398,45,151,10,10
0,462,408,43,155,13,13
0,509,410,42,164,13,15
0,553,416,43,171,18,21
0,598,427,44,180,24,26
0,646,438,54,187,35,33
0,699,448,45,191,38,36
0,749,451,51,199,42,42
0,802,452,59,207,49,46
0,864,462,68,213,55,50
0,937,465,71,219,58,55
0,0,606,77,220,63,54
0,82,557,76,224,61,60
0,162,556,83,226,66,61
0,249,507,83,228,64,63
0,335,554,86,230,65,64
