bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,1059,68,0,0
0,0,68,1060,66,-1,-1
0,0,134,1063,71,-2,-2
0,0,205,1061,66,0,0
0,0,271,1065,64,-1,-1
0,0,335,1064,64,0,0
0,0,399,1065,67,0,0
0,0,466,1062,72,0,1
0,0,538,1063,70,0,0
0,0,608,1063,69,0,0
0,0,677,1061,68,0,0
0,0,745,1063,70,0,1
0,0,815,1062,72,0,1
0,0,887,1063,70,0,0
0,0,957,1063,69,0,0
0,0,1026,1072,65,-4,-2
0,0,1091,1069,65,-3,-2
0,0,1156,1078,67,0,0
0,0,1223,1084,67,1,0
0,0,1290,1076,66,-4,0
0,0,1356,1074,77,-3,-6
0,0,1433,1077,72,-3,-3
0,0,1505,1065,69,3,-2
