bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,103,106,0,0
0,103,0,124,130,0,0
0,227,0,146,151,-3,-1
0,0,130,158,164,-2,-2
0,158,151,160,171,-1,-3
0,318,151,168,177,-1,-3
0,0,294,131,135,-5,-5
0,131,322,134,142,-6,-5
0,265,328,136,145,-7,-5
0,0,464,138,59,-7,39
0,138,464,25,24,49,56
0,163,464,98,68,0,0
0,261,473,93,96,-4,2
0,354,473,63,125,-24,1
0,417,361,63,124,-25,0
0,0,523,59,132,-25,-1
0,59,523,47,137,-19,-1
0,106,523,43,141,-19,-1
0,149,532,40,149,-19,-2
0,189,532,29,32,-17,58
0,218,532,25,28,-16,60
0,243,569,92,42,-3,-1
0,335,598,89,42,-1,0
0,0,660,92,40,-2,-1
0,92,681,92,41,-4,-1
0,184,681,72,64,0,0
0,256,611,66,62,0,0
0,322,640,66,67,0,0
0,388,640,64,63,1,0
0,0,700,70,63,1,-1
0,70,722,66,68,0,-2
0,136,745,64,71,1,-1
0,200,745,64,65,0,-2
