bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,451,631,-1,12
0,451,0,488,632,13,5
0,939,0,507,659,24,14
0,1446,0,514,621,35,0
0,0,632,514,621,35,0
0,514,659,514,621,35,0
0,1028,659,514,621,35,0
0,0,1253,514,621,35,0
0,514,1280,492,635,54,6
0,1006,1280,485,651,51,15
0,1491,1280,474,663,54,21
1,0,0,455,677,47,29
1,455,0,414,667,46,24
1,869,0,371,653,37,17
1,1240,0,339,639,33,10
1,1579,0,319,628,29,3
1,0,677,308,621,29,0
1,308,677,309,625,16,6
1,617,667,333,632,9,12
1,950,653,333,645,-7,16
1,1283,639,360,652,-12,21
1,1643,628,397,644,1,20
1,0,1302,452,630,-1,13
1,452,1302,489,631,13,6
1,941,1299,508,627,24,0
1,1449,1291,298,550,6,-38
1,1747,1272,295,552,5,-37
2,0,0,296,550,4,-39
2,296,0,536,541,130,-45
2,832,0,302,517,14,-56
2,1134,0,317,500,33,-60
2,1451,0,376,530,77,-47
2,0,550,408,556,115,-17
2,408,541,523,630,112,23
2,931,530,757,682,153,46
2,0,1171,820,725,190,50
2,820,1212,823,715,199,49
3,0,0,785,715,193,50
3,785,0,765,719,176,52
3,0,715,722,685,166,47
3,722,719,797,615,116,4
3,0,1400,602,591,-17,-10
3,602,1400,583,590,-27,-12
3,1185,1334,555,616,-17,-3
4,0,0,537,617,14,0
4,537,0,356,619,40,4
4,893,0,420,665,34,26
4,1313,0,421,661,36,23
4,0,617,477,644,32,14
4,477,665,510,624,21,3
4,987,665,544,618,14,2
4,0,1289,554,597,4,-11
4,554,1289,570,589,-1,-26
4,1124,1283,586,595,-2,-26
5,0,0,595,600,1,-25
5,595,0,603,604,7,-24
5,1198,0,606,612,7,-23
5,0,604,609,608,8,-25
5,609,612,605,611,8,-26
5,1214,612,602,607,7,-29
5,0,1212,580,615,0,-23
5,580,1223,551,633,-20,-18
5,1131,1223,549,653,-15,-6
6,0,0,554,674,-18,6
6,554,0,555,656,-17,0
6,1109,0,551,652,-18,-5
6,0,674,555,661,-17,1
6,555,656,555,669,-22,4
6,1110,652,568,647,-13,-5
6,0,1335,596,629,4,-14
6,596,1325,610,621,10,-16
6,1206,1299,536,654,-16,-1
7,0,0,418,637,9,-11
7,418,0,434,613,27,-19
7,852,0,469,601,43,-23
7,1321,0,522,606,50,-12
7,0,637,304,609,-3,-2
7,304,637,350,488,-60,-66
7,654,613,367,409,-76,-104
7,1021,606,446,419,-42,-100
7,1467,606,373,373,-87,-122
7,0,1246,360,369,-83,-126
7,360,1125,358,363,-75,-129
7,718,1025,388,366,-50,-132
7,1106,1025,585,438,47,-175
8,0,0,727,450,153,-213
8,727,0,1225,412,427,-216
8,0,450,1249,394,442,-192
8,0,844,1236,403,436,-191
8,0,1247,1228,393,431,-213
8,0,1640,1173,404,405,-181
9,0,0,1107,522,393,-92
9,1107,0,669,572,215,-22
9,0,522,571,578,145,-17
9,571,572,612,612,94,-3
9,1183,572,342,609,4,-5
9,1525,572,370,589,-34,-15
9,0,1100,382,563,-75,-33
9,382,1184,395,553,-80,-33
9,777,1184,398,541,-96,-40
9,1175,1184,396,537,-102,-45
9,1571,1161,319,567,-53,-32
10,0,0,375,592,16,-16
10,375,0,550,667,119,24
10,925,0,748,663,235,23
10,0,667,1137,643,436,13
10,0,1310,1153,688,436,32
11,0,0,1145,682,440,31
11,0,682,1156,627,432,4
11,0,1309,1045,674,388,15
11,1045,1309,990,654,360,6
12,0,0,463,669,97,20
12,0,669,351,652,54,14
12,0,1321,327,646,27,17
