bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,47,62,0,0, a_pod_one_0001
0,47,0,47,63,0,0, a_pod_one_0002
0,94,0,47,63,0,0, a_pod_one_0003
0,141,0,48,63,0,0, a_pod_one_0004
0,189,0,47,62,0,0, a_pod_one_0005
0,236,0,48,62,0,0, a_pod_one_0006
0,284,0,48,62,0,0, a_pod_one_0007
0,332,0,47,61,0,0, a_pod_one_0008
0,379,0,47,60,0,0, a_pod_one_0009
0,426,0,46,60,0,0, a_pod_one_0010
0,472,0,47,59,0,0, a_pod_one_0011
0,519,0,54,65,0,0, a_pod_planting_0001
0,573,0,56,60,0,0, a_pod_planting_0002
0,629,0,57,56,0,0, a_pod_planting_0003
0,686,0,52,53,0,0, a_pod_planting_0004
0,738,0,54,49,0,0, a_pod_planting_0005
0,792,0,60,41,0,0, a_pod_planting_0006
0,852,0,64,35,0,0, a_pod_planting_0007
0,916,0,66,28,0,0, a_pod_planting_0008
0,982,0,17,13,0,0, a_pod_planting_0009
0,999,0,16,11,0,0, a_pod_planting_0010
0,1015,0,44,57,0,0, a_pod_three_0001
0,1059,0,44,56,0,0, a_pod_three_0002
0,1103,0,43,58,0,0, a_pod_three_0003
0,1146,0,43,59,0,0, a_pod_three_0004
0,1189,0,43,58,0,0, a_pod_three_0005
0,1232,0,43,58,0,0, a_pod_three_0006
0,1275,0,43,58,0,0, a_pod_three_0007
0,1318,0,42,58,0,0, a_pod_three_0008
0,1360,0,43,57,0,0, a_pod_three_0009
0,1403,0,43,57,0,0, a_pod_three_0010
0,1446,0,43,57,0,0, a_pod_three_0011
0,1489,0,45,57,0,0, a_pod_two_0001
0,1534,0,45,57,0,0, a_pod_two_0002
0,1579,0,45,58,0,0, a_pod_two_0003
0,1624,0,45,58,0,0, a_pod_two_0004
0,1669,0,46,60,0,0, a_pod_two_0005
0,1715,0,44,60,0,0, a_pod_two_0006
0,1759,0,45,59,0,0, a_pod_two_0007
0,1804,0,44,59,0,0, a_pod_two_0008
0,1848,0,44,59,0,0, a_pod_two_0009
0,1892,0,44,58,0,0, a_pod_two_0010
0,1936,0,45,58,0,0, a_pod_two_0011
0,1981,0,47,62,0,0, b_pod_one_0001
0,0,62,47,63,0,0, b_pod_one_0002
0,47,63,47,63,0,0, b_pod_one_0003
0,94,63,48,63,0,0, b_pod_one_0004
0,142,63,47,62,0,0, b_pod_one_0005
0,189,62,48,62,0,0, b_pod_one_0006
0,237,62,48,62,0,0, b_pod_one_0007
0,285,62,47,61,0,0, b_pod_one_0008
0,332,61,47,60,0,0, b_pod_one_0009
0,379,60,46,60,0,0, b_pod_one_0010
0,425,60,47,59,0,0, b_pod_one_0011
0,472,65,52,65,0,0, b_pod_planting_0001
0,524,65,56,61,0,0, b_pod_planting_0002
0,580,60,56,57,0,0, b_pod_planting_0003
0,636,56,51,54,0,0, b_pod_planting_0004
0,687,53,53,50,0,0, b_pod_planting_0005
0,740,49,59,42,0,0, b_pod_planting_0006
0,799,41,63,36,0,0, b_pod_planting_0007
0,862,35,66,29,0,0, b_pod_planting_0008
0,928,28,16,14,0,0, b_pod_planting_0009
0,944,28,15,12,0,0, b_pod_planting_0010
0,959,28,44,57,0,0, b_pod_three_0001
0,1003,57,44,56,0,0, b_pod_three_0002
0,1047,57,43,58,0,0, b_pod_three_0003
0,1090,58,43,59,0,0, b_pod_three_0004
0,1133,59,43,58,0,0, b_pod_three_0005
0,1176,59,43,58,0,0, b_pod_three_0006
0,1219,58,43,58,0,0, b_pod_three_0007
0,1262,58,42,58,0,0, b_pod_three_0008
0,1304,58,43,57,0,0, b_pod_three_0009
0,1347,58,43,57,0,0, b_pod_three_0010
0,1390,57,43,57,0,0, b_pod_three_0011
0,1433,57,45,57,0,0, b_pod_two_0001
0,1478,57,45,57,0,0, b_pod_two_0002
0,1523,57,45,58,0,0, b_pod_two_0003
0,1568,58,45,58,0,0, b_pod_two_0004
0,1613,58,46,60,0,0, b_pod_two_0005
0,1659,60,44,60,0,0, b_pod_two_0006
0,1703,60,45,59,0,0, b_pod_two_0007
0,1748,60,44,59,0,0, b_pod_two_0008
0,1792,59,44,59,0,0, b_pod_two_0009
0,1836,59,44,58,0,0, b_pod_two_0010
0,1880,59,45,58,0,0, b_pod_two_0011
0,1925,58,47,62,0,0, c_pod_one_0001
0,1972,62,47,63,0,0, c_pod_one_0002
0,0,125,47,63,0,0, c_pod_one_0003
0,47,126,48,63,0,0, c_pod_one_0004
0,95,126,47,62,0,0, c_pod_one_0005
0,142,125,48,62,0,0, c_pod_one_0006
0,190,124,48,62,0,0, c_pod_one_0007
0,238,124,47,61,0,0, c_pod_one_0008
0,285,123,47,60,0,0, c_pod_one_0009
0,332,121,46,60,0,0, c_pod_one_0010
0,378,121,47,59,0,0, c_pod_one_0011
0,425,130,55,65,0,0, c_pod_planting_0001
0,480,130,57,60,0,0, c_pod_planting_0002
0,537,126,58,56,0,0, c_pod_planting_0003
0,595,117,53,53,0,0, c_pod_planting_0004
0,648,110,55,49,0,0, c_pod_planting_0005
0,703,103,61,41,0,0, c_pod_planting_0006
0,764,91,65,35,0,0, c_pod_planting_0007
0,829,77,68,28,0,0, c_pod_planting_0008
0,897,64,18,13,0,0, c_pod_planting_0009
0,915,64,17,11,0,0, c_pod_planting_0010
0,932,85,44,57,0,0, c_pod_three_0001
0,976,113,44,56,0,0, c_pod_three_0002
0,1020,115,43,58,0,0, c_pod_three_0003
0,1063,117,43,59,0,0, c_pod_three_0004
0,1106,117,43,58,0,0, c_pod_three_0005
0,1149,117,43,58,0,0, c_pod_three_0006
0,1192,117,43,58,0,0, c_pod_three_0007
0,1235,116,42,58,0,0, c_pod_three_0008
0,1277,116,43,57,0,0, c_pod_three_0009
0,1320,115,43,57,0,0, c_pod_three_0010
0,1363,115,43,57,0,0, c_pod_three_0011
0,1406,114,45,57,0,0, c_pod_two_0001
0,1451,114,45,57,0,0, c_pod_two_0002
0,1496,115,45,58,0,0, c_pod_two_0003
0,1541,116,45,58,0,0, c_pod_two_0004
0,1586,118,46,60,0,0, c_pod_two_0005
0,1632,120,44,60,0,0, c_pod_two_0006
0,1676,120,45,59,0,0, c_pod_two_0007
0,1721,119,44,59,0,0, c_pod_two_0008
0,1765,119,44,59,0,0, c_pod_two_0009
0,1809,118,44,58,0,0, c_pod_two_0010
0,1853,117,45,58,0,0, c_pod_two_0011
0,1898,120,65,69,0,0, flower_chomper_0001
0,1963,125,76,71,0,0, flower_chomper_0002
0,0,189,50,128,0,0, flower_chomper_0003
0,50,189,49,108,0,0, flower_chomper_0004
0,99,188,55,106,0,0, flower_chomper_0005
0,154,187,62,102,0,0, flower_chomper_0006
0,216,186,61,86,0,0, flower_chomper_0007
0,277,185,77,62,0,0, flower_chomper_0008
0,354,195,73,68,0,0, flower_chomper_0009
0,427,195,39,34,0,0, flower_enemy_leaf_a_0001
0,466,195,36,32,0,0, flower_enemy_leaf_a_0002
0,502,190,39,31,0,0, flower_enemy_leaf_a_0003
0,541,182,41,28,0,0, flower_enemy_leaf_a_0004
0,582,182,39,27,0,0, flower_enemy_leaf_a_0005
0,621,170,39,26,0,0, flower_enemy_leaf_a_0006
0,660,159,37,28,0,0, flower_enemy_leaf_a_0007
0,697,159,37,31,0,0, flower_enemy_leaf_a_0008
0,734,144,34,37,0,0, flower_enemy_leaf_a_0009
0,768,126,36,31,0,0, flower_enemy_leaf_a_0010
0,804,126,39,30,0,0, flower_enemy_leaf_a_0011
0,843,105,40,26,0,0, flower_enemy_leaf_a_0012
0,883,105,40,27,0,0, flower_enemy_leaf_a_0013
0,923,142,37,28,0,0, flower_enemy_leaf_a_0014
0,960,169,37,30,0,0, flower_enemy_leaf_a_0015
0,997,173,36,32,0,0, flower_enemy_leaf_a_0016
0,1033,176,38,30,0,0, flower_enemy_leaf_b_0001
0,1071,176,40,28,0,0, flower_enemy_leaf_b_0002
0,1111,175,41,27,0,0, flower_enemy_leaf_b_0003
0,1152,175,41,24,0,0, flower_enemy_leaf_b_0004
0,1193,175,43,27,0,0, flower_enemy_leaf_b_0005
0,1236,174,40,30,0,0, flower_enemy_leaf_b_0006
0,1276,174,31,35,0,0, flower_enemy_leaf_b_0007
0,1307,173,29,37,0,0, flower_enemy_leaf_b_0008
0,1336,172,28,41,0,0, flower_enemy_leaf_b_0009
0,1364,172,29,40,0,0, flower_enemy_leaf_b_0010
0,1393,172,30,37,0,0, flower_enemy_leaf_b_0011
0,1423,171,34,34,0,0, flower_enemy_leaf_b_0012
0,1457,173,41,26,0,0, flower_enemy_leaf_b_0013
0,1498,173,40,26,0,0, flower_enemy_leaf_b_0014
0,1538,174,39,28,0,0, flower_enemy_leaf_b_0015
0,1577,178,39,29,0,0, flower_enemy_leaf_b_0016
0,1616,180,107,70,0,0, flower_mini_fly_0001
0,1723,178,118,67,0,0, flower_mini_fly_0002
0,1841,189,122,108,0,0, flower_mini_fly_0003
0,0,317,115,68,0,0, flower_mini_fly_0004
0,115,294,116,64,0,0, flower_mini_fly_0005
0,231,272,112,70,0,0, flower_mini_fly_0006
0,343,263,105,81,0,0, flower_mini_fly_0007
0,448,229,100,80,0,0, flower_mini_fly_0008
0,548,210,38,30,0,0, flower_mini_intro_0001
0,586,209,60,38,0,0, flower_mini_intro_0002
0,646,196,82,51,0,0, flower_mini_intro_0003
0,728,190,101,63,0,0, flower_mini_intro_0004
0,829,170,106,66,0,0, flower_mini_intro_0005
0,935,199,35,53,0,0, flower_mini_pink_bullet_0001
0,970,205,35,64,0,0, flower_mini_pink_bullet_0002
0,1005,206,36,53,0,0, flower_mini_pink_bullet_0003
0,1041,206,35,57,0,0, flower_mini_pink_bullet_0004
0,1076,204,67,71,0,0, flower_mini_pink_bullet_death_0001
0,1143,202,86,89,0,0, flower_mini_pink_bullet_death_0002
0,1229,210,96,101,0,0, flower_mini_pink_bullet_death_0003
0,1325,213,110,107,0,0, flower_mini_pink_bullet_death_0004
0,1435,205,106,103,0,0, flower_mini_pink_bullet_death_0005
0,1541,250,106,90,0,0, flower_mini_shoot_0001
0,1647,250,128,99,0,0, flower_mini_shoot_0002
0,1775,297,148,110,0,0, flower_mini_shoot_0003
0,0,385,170,127,0,0, flower_mini_shoot_0004
0,170,358,165,125,0,0, flower_mini_shoot_0005
0,335,344,167,128,0,0, flower_mini_shoot_0006
0,502,309,162,129,0,0, flower_mini_shoot_0007
0,664,253,163,128,0,0, flower_mini_shoot_0008
0,827,269,160,130,0,0, flower_mini_shoot_0009
0,987,291,165,131,0,0, flower_mini_shoot_0010
0,1152,311,166,151,0,0, flower_mini_shoot_0011
0,1318,320,156,154,0,0, flower_mini_shoot_0012
0,1474,340,152,134,0,0, flower_mini_shoot_0013
0,1626,349,139,135,0,0, flower_mini_shoot_0014
0,1765,407,156,133,0,0, flower_mini_shoot_0015
0,0,512,164,136,0,0, flower_mini_shoot_0016
0,164,512,153,134,0,0, flower_mini_shoot_0017
0,317,483,70,67,0,0, flower_venus_a_chomp_0001
0,387,472,84,70,0,0, flower_venus_a_chomp_0002
0,471,472,119,57,0,0, flower_venus_a_chomp_0003
0,590,438,85,62,0,0, flower_venus_a_chomp_0004
0,675,381,78,66,0,0, flower_venus_a_chomp_0005
0,753,381,64,67,0,0, flower_venus_a_grow_0008
0,817,399,66,67,0,0, flower_venus_b_chomp_0001
0,883,399,80,67,0,0, flower_venus_b_chomp_0002
0,963,422,105,54,0,0, flower_venus_b_chomp_0003
0,1068,462,102,63,0,0, flower_venus_b_chomp_0004
0,1170,462,70,65,0,0, flower_venus_b_chomp_0005
0,1240,462,62,62,0,0, flower_venus_b_grow_0008
0,1302,474,28,27,0,0, flower_venus_grow_0001
0,1330,474,39,33,0,0, flower_venus_grow_0002
0,1369,474,45,43,0,0, flower_venus_grow_0003
0,1414,474,49,45,0,0, flower_venus_grow_0004
0,1463,474,56,53,0,0, flower_venus_grow_0005
0,1519,474,57,55,0,0, flower_venus_grow_0006
0,1576,484,60,62,0,0, flower_venus_grow_0007
0,1636,484,62,34,0,0, flower_vine_a_0001
0,1698,484,49,69,0,0, flower_vine_a_0002
0,1747,540,55,95,0,0, flower_vine_a_0003
0,1802,540,61,139,0,0, flower_vine_a_0004
0,1863,540,61,157,0,0, flower_vine_a_0005
0,1924,473.5,54,189,0,0, flower_vine_a_0006
0,1978,473.5,61,214,0,0, flower_vine_a_0007
0,0,648,70,241,0,0, flower_vine_a_0008
0,70,648,70,249,0,0, flower_vine_a_0009
0,140,648,72,266,0,0, flower_vine_a_0010
0,212,646,69,262,0,0, flower_vine_a_0011
0,281,646,71,271,0,0, flower_vine_a_0012
0,352,550,79,263,0,0, flower_vine_a_0013
0,431,542,77,263,0,0, flower_vine_a_0014
0,508,529,74,261,0,0, flower_vine_a_0015
0,582,529,73,260,0,0, flower_vine_a_0016
0,655,500,73,261,0,0, flower_vine_a_0017
0,728,448,75,261,0,0, flower_vine_a_0018
0,803,466,67,50,0,0, flower_vine_b_0001
0,870,466,53,80,0,0, flower_vine_b_0002
0,923,476,53,104,0,0, flower_vine_b_0003
0,976,476,62,129,0,0, flower_vine_b_0004
0,1038,525,62,166,0,0, flower_vine_b_0005
0,1100,525,55,200,0,0, flower_vine_b_0006
0,1155,527,61,249,0,0, flower_vine_b_0007
0,1216,527,65,289,0,0, flower_vine_b_0008
0,1281,524,65,307,0,0, flower_vine_b_0009
0,1346,517,64,322,0,0, flower_vine_b_0010
0,1410,527,64,332,0,0, flower_vine_b_0011
0,1474,529,76,336,0,0, flower_vine_b_0012
0,1550,546,76,331,0,0, flower_vine_b_0013
0,1626,553,73,329,0,0, flower_vine_b_0014
0,1699,635,73,326,0,0, flower_vine_b_0015
0,1772,679,82,325,0,0, flower_vine_b_0016
0,1854,697,88,325,0,0, flower_vine_b_0017
0,1942,687.5,87,328,0,0, flower_vine_b_0018
0,0,889,66,45,0,0, flower_vine_c_0001
0,66,897,48,115,0,0, flower_vine_c_0002
0,114,914,58,182,0,0, flower_vine_c_0003
0,172,914,54,225,0,0, flower_vine_c_0004
0,226,917,74,261,0,0, flower_vine_c_0005
0,300,917,74,263,0,0, flower_vine_c_0006
0,374,813,82,293,0,0, flower_vine_c_0007
0,456,805,85,330,0,0, flower_vine_c_0008
0,541,790,80,350,0,0, flower_vine_c_0009
0,621,789,79,373,0,0, flower_vine_c_0010
0,700,761,94,390,0,0, flower_vine_c_0011
0,794,709,95,395,0,0, flower_vine_c_0012
0,889,605,101,396,0,0, flower_vine_c_0013
0,990,691,107,396,0,0, flower_vine_c_0014
0,1097,776,110,395,0,0, flower_vine_c_0015
0,1207,831,108,393,0,0, flower_vine_c_0016
0,1315,859,116,392,0,0, flower_vine_c_0017
0,1431,877,121,390,0,0, flower_vine_c_0018
0,1552,882,119,411,0,0, flower_vine_c_0019
0,1671,961,81,32,0,0, flower_vine_groundburst_0001
0,1752,1004,82,42,0,0, flower_vine_groundburst_0002
0,1834,1022,82,50,0,0, flower_vine_groundburst_0003
0,1916,1022,76,41,0,0, flower_vine_groundburst_0004
0,0,1012,97,45,0,0, flower_vine_groundburst_0005
0,97,1139,118,49,0,0, flower_vine_groundburst_0006
0,215,1180,133,35,0,0, flower_vine_groundburst_0007
0,348,1180,79,75,0,0, mini_flower_petalA_0001
0,427,1135,82,71,0,0, mini_flower_petalA_0002
0,509,1140,84,68,0,0, mini_flower_petalA_0003
0,593,1162,87,66,0,0, mini_flower_petalA_0004
0,680,1162,88,66,0,0, mini_flower_petalA_0005
0,768,1151,89,67,0,0, mini_flower_petalA_0006
0,857,1104,85,66,0,0, mini_flower_petalA_0007
0,942,1087,83,67,0,0, mini_flower_petalA_0008
0,1025,1171,81,72,0,0, mini_flower_petalA_0009
0,1106,1171,85,71,0,0, mini_flower_petalA_0010
0,1191,1224,84,65,0,0, mini_flower_petalA_0011
0,1275,1251,88,67,0,0, mini_flower_petalA_0012
