bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,323,621,28,1
0,323,0,396,614,52,-1
0,719,0,504,591,46,-13
0,1223,0,495,574,6,-20
0,0,621,457,600,-37,-5
0,457,614,494,589,-56,-12
0,951,591,508,547,-66,-33
0,1459,574,488,594,-65,-7
0,0,1221,468,593,-67,-8
0,468,1203,453,553,-75,-25
0,921,1203,443,592,-81,-6
0,1364,1168,426,562,-92,-24
1,0,0,433,601,-85,-4
1,433,0,430,564,-90,-21
1,863,0,444,593,-82,-9
1,1307,0,454,562,-74,-23
1,0,601,458,566,-79,-22
1,458,593,482,536,-80,-41
1,940,593,507,516,-73,-46
1,1447,562,480,546,-63,-30
1,0,1167,460,566,-23,-28
1,460,1129,485,603,34,-5
1,945,1109,507,619,43,-1
1,1452,1108,426,611,21,2
2,0,0,445,606,17,7
2,445,0,397,604,6,10
2,842,0,427,605,-2,10
2,1269,0,446,603,-10,11
2,0,606,514,615,-42,15
2,514,605,539,611,-39,13
2,1053,605,515,609,-15,11
2,0,1221,667,610,4,4
2,667,1216,665,597,12,-2
2,1332,1214,607,580,20,-8
3,0,0,568,575,14,-14
3,568,0,538,609,14,3
3,1106,0,521,616,2,6
3,0,575,536,622,-27,7
3,536,609,526,616,10,4
3,1062,616,529,621,-71,-2
3,1591,616,344,644,1,-8
3,0,1197,316,638,-6,-5
3,316,1225,329,632,-5,-4
3,645,1225,331,634,-7,-2
3,976,1237,367,638,1,-7
3,1343,1260,376,639,7,-16
4,0,0,386,638,9,-26
4,386,0,391,656,3,-21
4,0,656,399,659,-1,-21
4,399,656,410,664,-10,-23
4,0,1320,425,664,-16,-27
4,425,1320,438,664,-23,-29
5,0,0,449,658,-27,-33
