bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,93,101,5.5,25.5
0,93,0,124,138,-1.5,61
0,217,0,118,230,6.5,88.5
0,335,0,115,164,4.5,62.5
0,450,0,144,242,6.5,96.5
0,594,0,116,145,-26,55.5
0,710,0,106,234,-27,90.5
0,816,0,118,161,-32.5,61
0,0,101,91,220,-19.5,103
0,91,138,68,31,-35.5,20.5
0,159,230,63,87,5,-4
0,222,230,112,98,-32.5,-51.5
0,334,242,181,297,0,0
0,515,242,176,408,0,13
0,691,234,177,420,-0.5,12
0,0,676,184,430,0,11
0,184,693,177,437,-1,7
0,361,693,173,446,-1,7
0,534,664,173,451,1,7.5
0,707,662,176,422,0.5,3.5
0,0,1106,163,428,7.5,2
0,163,1130,163,434,10,3
0,326,1139,141,441,-6,2
0,467,1139,140,444,-6,2
0,607,1115,135,447,-6.5,1.5
0,742,1084,130,450,-5.5,1.5
