bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,457,631,0,0, flower_phase2_death_0001
0,457,0,479,630,0,0, flower_phase2_death_0002
0,936,0,467,623,0,0, flower_phase2_death_0003
0,1403,0,470,622,0,0, flower_phase2_death_0004
0,0,631,480,625,0,0, flower_phase2_death_0005
0,480,630,483,629,0,0, flower_phase2_death_0006
0,963,623,495,626,0,0, flower_phase2_death_0007
0,1458,622,479,631,0,0, flower_phase2_death_0008
0,0,1256,472,626,0,0, flower_phase2_death_0009
0,472,1259,496,628,0,0, flower_phase2_death_0010
0,968,1249,465,628,0,0, flower_phase2_death_0011
0,1433,1253,460,630,0,0, flower_phase2_death_0012
1,0,0,453,651,0,0, flower_phase2_idle_0001
1,453,0,460,647,0,0, flower_phase2_idle_0002
1,913,0,463,646,0,0, flower_phase2_idle_0003
1,1376,0,466,646,0,0, flower_phase2_idle_0004
1,0,651,466,645,0,0, flower_phase2_idle_0005
1,466,647,467,657,0,0, flower_phase2_idle_0006
1,933,646,467,680,0,0, flower_phase2_idle_0007
1,1400,646,467,699,0,0, flower_phase2_idle_0008
1,0,1304,495,710,0,0, flower_phase2_idle_0009
1,495,1326,513,710,0,0, flower_phase2_idle_0010
1,1008,1345,516,702,0,0, flower_phase2_idle_0011
1,1524,1345,513,698,0,0, flower_phase2_idle_0012
2,0,0,501,684,0,0, flower_phase2_idle_0013
2,501,0,478,685,0,0, flower_phase2_idle_0014
2,979,0,470,679,0,0, flower_phase2_idle_0015
2,1449,0,463,667,0,0, flower_phase2_idle_0016
2,0,684,445,767,0,0, flower_phase2_spit_0001
2,445,685,438,646,0,0, flower_phase2_spit_0002
2,883,685,442,622,0,0, flower_phase2_spit_0003
2,1325,679,451,587,0,0, flower_phase2_spit_0004
3,0,0,492,608,0,0, flower_phase2_spit_0005
3,492,0,504,649,0,0, flower_phase2_spit_0006
3,996,0,508,649,0,0, flower_phase2_spit_0007
3,1504,0,500,642,0,0, flower_phase2_spit_0008
3,0,649,509,596,0,0, flower_phase2_spit_0009
3,509,649,511,575,0,0, flower_phase2_spit_0010
3,1020,649,535,673,0,0, flower_phase2_spit_0011
3,0,1245,547,567,0,0, flower_phase2_spit_0012
3,547,1322,576,590,0,0, flower_phase2_spit_0013
3,1123,1322,597,617,0,0, flower_phase2_spit_0014
4,0,0,625,567,0,0, flower_phase2_spit_0015
4,625,0,612,530,0,0, flower_phase2_spit_0016
4,1237,0,537,560,0,0, flower_phase2_spit_0017
4,0,567,510,586,0,0, flower_phase2_spit_0018
4,510,567,438,606,0,0, flower_phase2_spit_0019
4,948,560,439,618,0,0, flower_phase2_spit_0020
4,1387,560,469,635,0,0, flower_phase2_spit_0021
5,0,0,456,657,0,0, flower_phase2_spit_22
