bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,59,60,0,0, flower_puffball_0001
0,59,0,56,58,0,0, flower_puffball_0002
0,115,0,54,57,0,0, flower_puffball_0003
0,169,0,52,55,0,0, flower_puffball_0004
0,0,60,50,53,0,0, flower_puffball_0005
0,50,60,32,27,0,0, flower_puffpetal_a_0001
0,82,58,34,27,0,0, flower_puffpetal_a_0002
0,116,57,35,25,0,0, flower_puffpetal_a_0003
0,151,57,35,24,0,0, flower_puffpetal_a_0004
0,186,55,36,23,0,0, flower_puffpetal_a_0005
0,0,113,37,22,0,0, flower_puffpetal_a_0006
0,37,113,37,21,0,0, flower_puffpetal_a_0007
0,74,87,38,18,0,0, flower_puffpetal_a_0008
0,112,85,37,18,0,0, flower_puffpetal_a_0009
0,149,82,38,17,0,0, flower_puffpetal_a_0010
0,187,78,38,17,0,0, flower_puffpetal_a_0011
0,0,135,37,19,0,0, flower_puffpetal_a_0012
0,37,134,35,21,0,0, flower_puffpetal_a_0013
0,72,134,35,22,0,0, flower_puffpetal_a_0014
0,107,105,35,23,0,0, flower_puffpetal_a_0015
0,142,103,34,24,0,0, flower_puffpetal_a_0016
0,176,99,33,24,0,0, flower_puffpetal_a_0017
0,209,95,33,26,0,0, flower_puffpetal_b_0001
0,0,154,34,24,0,0, flower_puffpetal_b_0002
0,34,155,35,24,0,0, flower_puffpetal_b_0003
0,69,156,35,24,0,0, flower_puffpetal_b_0004
0,104,156,35,23,0,0, flower_puffpetal_b_0005
0,139,128,37,20,0,0, flower_puffpetal_b_0006
0,176,123,37,19,0,0, flower_puffpetal_b_0007
0,213,121,36,18,0,0, flower_puffpetal_b_0008
0,0,179,35,17,0,0, flower_puffpetal_b_0009
0,35,179,34,18,0,0, flower_puffpetal_b_0010
0,69,180,29,20,0,0, flower_puffpetal_b_0011
0,98,180,28,23,0,0, flower_puffpetal_b_0012
0,126,179,24,24,0,0, flower_puffpetal_b_0013
0,150,148,24,25,0,0, flower_puffpetal_b_0014
0,174,148,24,25,0,0, flower_puffpetal_b_0015
0,198,142,24,27,0,0, flower_puffpetal_b_0016
0,222,139,23,27,0,0, flower_puffpetal_b_0017
0,0,197,60,59,0,0, pink_flower_puffball_0001
0,60,203,57,57,0,0, pink_flower_puffball_0002
0,117,203,55,56,0,0, pink_flower_puffball_0003
0,172,173,53,54,0,0, pink_flower_puffball_0004
0,0,256,51,52,0,0, pink_flower_puffball_0005
0,51,260,32,27,0,0, pink_flower_puffpetal_a_0001
0,83,260,34,27,0,0, pink_flower_puffpetal_a_0002
0,117,259,35,25,0,0, pink_flower_puffpetal_a_0003
0,152,259,35,24,0,0, pink_flower_puffpetal_a_0004
0,187,227,36,23,0,0, pink_flower_puffpetal_a_0005
0,0,308,37,22,0,0, pink_flower_puffpetal_a_0006
0,37,308,37,21,0,0, pink_flower_puffpetal_a_0007
0,74,287,38,18,0,0, pink_flower_puffpetal_a_0008
0,112,287,37,18,0,0, pink_flower_puffpetal_a_0009
0,149,284,38,17,0,0, pink_flower_puffpetal_a_0010
0,187,250,38,17,0,0, pink_flower_puffpetal_a_0011
0,0,330,37,19,0,0, pink_flower_puffpetal_a_0012
0,37,329,35,21,0,0, pink_flower_puffpetal_a_0013
0,72,329,35,22,0,0, pink_flower_puffpetal_a_0014
0,107,305,35,23,0,0, pink_flower_puffpetal_a_0015
0,142,305,34,24,0,0, pink_flower_puffpetal_a_0016
0,176,301,33,24,0,0, pink_flower_puffpetal_a_0017
0,209,267,33,26,0,0, pink_flower_puffpetal_b_0001
0,0,349,34,24,0,0, pink_flower_puffpetal_b_0002
0,34,350,35,24,0,0, pink_flower_puffpetal_b_0003
0,69,351,35,24,0,0, pink_flower_puffpetal_b_0004
0,104,351,35,23,0,0, pink_flower_puffpetal_b_0005
0,139,329,37,20,0,0, pink_flower_puffpetal_b_0006
0,176,325,37,19,0,0, pink_flower_puffpetal_b_0007
0,213,293,36,18,0,0, pink_flower_puffpetal_b_0008
0,0,374,35,17,0,0, pink_flower_puffpetal_b_0009
0,35,374,34,18,0,0, pink_flower_puffpetal_b_0010
0,69,375,29,20,0,0, pink_flower_puffpetal_b_0011
0,98,375,28,23,0,0, pink_flower_puffpetal_b_0012
0,126,374,24,24,0,0, pink_flower_puffpetal_b_0013
0,150,349,24,25,0,0, pink_flower_puffpetal_b_0014
0,174,349,24,25,0,0, pink_flower_puffpetal_b_0015
0,198,344,24,27,0,0, pink_flower_puffpetal_b_0016
0,222,311,23,27,0,0, pink_flower_puffpetal_b_0017
