bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,77,89,0,0, flower_chomper_death_0001
0,77,0,70,86,0,0, flower_chomper_death_0002
0,147,0,123,121,0,0, flower_chomper_death_0003
0,270,0,224,201,0,0, flower_chomper_death_0004
0,494,0,221,204,0,0, flower_chomper_death_0005
0,715,0,176,200,0,0, flower_chomper_death_0006
0,891,0,194,201,0,0, flower_chomper_death_0007
0,1085,0,219,230,0,0, flower_chomper_death_0008
0,1304,0,230,240,0,0, flower_chomper_death_0009
0,1534,0,247,262,0,0, flower_chomper_death_0010
0,1781,0,257,265,0,0, flower_chomper_death_0011
0,0,201,276,277,0,0, flower_chomper_death_0012
0,276,204,282,286,0,0, flower_chomper_death_0013
0,558,204,285,284,0,0, flower_chomper_death_0014
0,843,201,73,71,0,0, flower_venus_death_0001
0,916,201,82,84,0,0, flower_venus_death_0002
0,998,230,128,147,0,0, flower_venus_death_0003
0,1126,240,210,236,0,0, flower_venus_death_0004
0,1336,262,225,271,0,0, flower_venus_death_0005
0,1561,265,255,293,0,0, flower_venus_death_0006
0,0,490,280,302,0,0, flower_venus_death_0007
0,280,490,283,259,0,0, flower_venus_death_0008
0,563,488,284,272,0,0, flower_venus_death_0009
0,847,377,278,286,0,0, flower_venus_death_0010
0,1125,533,248,283,0,0, flower_venus_death_0011
0,1373,533,186,141,0,0, mini_flower_death_0001
0,1559,558,197,175,0,0, mini_flower_death_0002
0,1756,558,134,133,0,0, mini_flower_death_0003
0,0,792,244,276,0,0, mini_flower_death_0004
0,244,792,296,321,0,0, mini_flower_death_0005
0,540,760,341,370,0,0, mini_flower_death_0006
0,881,816,377,397,0,0, mini_flower_death_0007
0,1258,816,406,418,0,0, mini_flower_death_0008
0,0,1113,420,435,0,0, mini_flower_death_0009
0,420,1130,190,201,0,0, mini_flower_death_0010
0,610,1130,172,197,0,0, mini_flower_death_0011
0,782,1213,156,188,0,0, mini_flower_death_0012
0,938,1213,192,164,0,0, mini_flower_death_0013
0,1130,1234,152,137,0,0, mini_flower_death_0014
0,1282,1234,134,138,0,0, mini_flower_death_0015
0,1416,1234,125,115,0,0, mini_flower_death_0016
