bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,323,621,0,0, flower_phase_one_gatling_0001
0,323,0,396,614,0,0, flower_phase_one_gatling_0002
0,719,0,504,591,0,0, flower_phase_one_gatling_0003
0,1223,0,495,574,0,0, flower_phase_one_gatling_0004
0,0,621,457,600,0,0, flower_phase_one_gatling_0005
0,457,614,494,589,0,0, flower_phase_one_gatling_0006
0,951,591,508,547,0,0, flower_phase_one_gatling_0007
0,1459,574,488,594,0,0, flower_phase_one_gatling_0008
0,0,1221,468,593,0,0, flower_phase_one_gatling_0009
0,468,1203,453,553,0,0, flower_phase_one_gatling_0010
0,921,1203,443,592,0,0, flower_phase_one_gatling_0011
0,1364,1168,426,562,0,0, flower_phase_one_gatling_0012
1,0,0,433,601,0,0, flower_phase_one_gatling_0013
1,433,0,430,564,0,0, flower_phase_one_gatling_0014
1,863,0,444,593,0,0, flower_phase_one_gatling_0015
1,1307,0,454,562,0,0, flower_phase_one_gatling_0016
1,0,601,458,566,0,0, flower_phase_one_gatling_0017
1,458,593,482,536,0,0, flower_phase_one_gatling_0018
1,940,593,507,516,0,0, flower_phase_one_gatling_0019
1,1447,562,480,546,0,0, flower_phase_one_gatling_0020
1,0,1167,460,566,0,0, flower_phase_one_gatling_0021
1,460,1129,485,603,0,0, flower_phase_one_gatling_0022
1,945,1109,507,619,0,0, flower_phase_one_gatling_0023
1,1452,1108,426,611,0,0, flower_phase2_trans_0001
2,0,0,445,606,0,0, flower_phase2_trans_0002
2,445,0,397,604,0,0, flower_phase2_trans_0003
2,842,0,427,605,0,0, flower_phase2_trans_0004
2,1269,0,446,603,0,0, flower_phase2_trans_0005
2,0,606,514,615,0,0, flower_phase2_trans_0006
2,514,605,539,611,0,0, flower_phase2_trans_0007
2,1053,605,515,609,0,0, flower_phase2_trans_0008
2,0,1221,667,610,0,0, flower_phase2_trans_0009
2,667,1216,665,597,0,0, flower_phase2_trans_0010
2,1332,1214,607,580,0,0, flower_phase2_trans_0011
3,0,0,568,575,0,0, flower_phase2_trans_0012
3,568,0,538,609,0,0, flower_phase2_trans_0013
3,1106,0,521,616,0,0, flower_phase2_trans_0014
3,0,575,536,622,0,0, flower_phase2_trans_0015
3,536,609,526,616,0,0, flower_phase2_trans_0016
3,1062,616,529,621,0,0, flower_phase2_trans_0017
3,1591,616,344,644,0,0, flower_phase2_trans_0018
3,0,1197,316,638,0,0, flower_phase2_trans_0019
3,316,1225,329,632,0,0, flower_phase2_trans_0020
3,645,1225,331,634,0,0, flower_phase2_trans_0021
3,976,1237,367,638,0,0, flower_phase2_trans_0022
3,1343,1260,376,639,0,0, flower_phase2_trans_0023
4,0,0,386,638,0,0, flower_phase2_trans_0024
4,386,0,391,656,0,0, flower_phase2_trans_0025
4,0,656,399,659,0,0, flower_phase2_trans_0026
4,399,656,410,664,0,0, flower_phase2_trans_0027
4,0,1320,425,664,0,0, flower_phase2_trans_0028
4,425,1320,438,664,0,0, flower_phase2_trans_0029
4,438,659,449,658,0,0, flower_phase2_trans_0030
5,0,0,449,658,0,0, flower_phas2_trans_31
