bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,62,62,0,0, flower_phase_two_back_vinehand_0001
0,62,0,84,86,0,0, flower_phase_two_back_vinehand_0002
0,146,0,106,119,0,0, flower_phase_two_back_vinehand_0003
0,252,0,140,132,0,0, flower_phase_two_back_vinehand_0004
0,392,0,152,154,0,0, flower_phase_two_back_vinehand_0005
0,544,0,114,171,0,0, flower_phase_two_back_vinehand_0006
0,658,0,111,172,0,0, flower_phase_two_back_vinehand_0007
0,769,0,112,170,0,0, flower_phase_two_back_vinehand_0008
0,881,0,112,170,0,0, flower_phase_two_back_vinehand_0009
0,993,0,124,182,0,0, flower_phase_two_back_vinehand_0010
0,1117,0,159,256,0,0, flower_phase_two_back_vinehand_0011
0,1276,0,162,271,0,0, flower_phase_two_back_vinehand_0012
0,1438,0,166,266,0,0, flower_phase_two_back_vinehand_0013
0,1604,0,163,261,0,0, flower_phase_two_back_vinehand_0014
0,1767,0,161,301,0,0, flower_phase_two_back_vinehand_0015
0,0,119,161,316,0,0, flower_phase_two_back_vinehand_0016
0,161,132,161,319,0,0, flower_phase_two_back_vinehand_0017
0,322,154,162,318,0,0, flower_phase_two_back_vinehand_0018
0,484,171,78,76,0,0, flower_phase_two_front_vinehand_0001
0,562,172,109,90,0,0, flower_phase_two_front_vinehand_0002
0,671,172,127,160,0,0, flower_phase_two_front_vinehand_0003
0,798,170,129,183,0,0, flower_phase_two_front_vinehand_0004
0,927,182,143,202,0,0, flower_phase_two_front_vinehand_0005
0,1070,256,120,226,0,0, flower_phase_two_front_vinehand_0006
0,1190,271,124,237,0,0, flower_phase_two_front_vinehand_0007
0,1314,271,126,245,0,0, flower_phase_two_front_vinehand_0008
0,1440,266,125,270,0,0, flower_phase_two_front_vinehand_0009
0,1565,266,125,247,0,0, flower_phase_two_front_vinehand_0010
0,1690,301,131,251,0,0, flower_phase_two_front_vinehand_0011
0,1821,301,130,265,0,0, flower_phase_two_front_vinehand_0012
0,0,435,131,283,0,0, flower_phase_two_front_vinehand_0013
0,131,451,132,333,0,0, flower_phase_two_front_vinehand_0014
0,263,472,145,360,0,0, flower_phase_two_front_vinehand_0015
0,408,472,147,417,0,0, flower_phase_two_front_vinehand_0016
0,555,332,168,458,0,0, flower_phase_two_front_vinehand_0017
0,723,353,163,489,0,0, flower_phase_two_front_vinehand_0018
0,886,384,164,487,0,0, flower_phase_two_front_vinehand_0019
0,1050,508,165,488,0,0, flower_phase_two_front_vinehand_0020
0,1215,516,163,490,0,0, flower_phase_two_front_vinehand_0021
0,1378,536,114,102,0,0, flower_phase2_ground_vine_0001
0,1492,536,139,158,0,0, flower_phase2_ground_vine_0002
0,1631,566,202,194,0,0, flower_phase2_ground_vine_0003
0,0,784,250,192,0,0, flower_phase2_ground_vine_0004
0,250,889,325,200,0,0, flower_phase2_ground_vine_0005
0,575,871,366,209,0,0, flower_phase2_ground_vine_0006
0,941,1006,433,201,0,0, flower_phase2_ground_vine_0007
0,1374,1006,513,209,0,0, flower_phase2_ground_vine_0008
0,0,1089,577,226,0,0, flower_phase2_ground_vine_0009
0,577,1207,639,220,0,0, flower_phase2_ground_vine_0010
0,1216,1215,691,203,0,0, flower_phase2_ground_vine_0011
0,0,1427,763,189,0,0, flower_phase2_ground_vine_0012
0,763,1427,816,176,0,0, flower_phase2_ground_vine_0013
0,0,1616,841,154,0,0, flower_phase2_ground_vine_0014
0,841,1603,870,134,0,0, flower_phase2_ground_vine_0015
0,0,1770,895,123,0,0, flower_phase2_ground_vine_0016
0,895,1737,908,123,0,0, flower_phase2_ground_vine_0017
0,0,1893,930,119,0,0, flower_phase2_ground_vine_0018
0,930,1860,940,131,0,0, flower_phase2_ground_vine_0019
1,0,0,944,121,0,0, flower_phase2_ground_vine_0020
1,944,0,948,118,0,0, flower_phase2_ground_vine_0021
1,0,121,950,197,0,0, flower_phase2_ground_vine_0022
1,950,118,950,176,0,0, flower_phase2_ground_vine_0023
