bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,270,242,0,0
0,270,0,270,243,0,0
0,540,0,271,244,0,0
0,811,0,231,134,0,0
0,1042,0,229,134,1,0
0,1271,0,230,136,1,1
0,1501,0,354,232,0,0
0,0,243,353,231,0,0
0,353,244,352,233,0,1
0,705,244,295,367,0,0
0,1000,136,297,369,0,0
0,1297,232,294,370,0,0
0,1591,232,80,124,0,0
0,1671,232,79,125,0,0
0,1750,232,79,125,0,0
0,0,474,257,277,0,0
0,257,477,257,277,0,1
0,514,611,255,278,0,1
0,769,611,250,333,0,0
0,1019,505,252,333,-1,1
0,1271,602,252,334,0,1
0,1523,602,275,352,0,0
0,0,754,276,355,0,2
0,276,889,275,354,0,1
0,551,944,309,258,0,0
0,860,944,310,259,0,-1
0,1170,936,309,259,0,-1
