bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,98,155,0,0, world1_buoy
0,98,0,190,230,0,0, world1_dock
0,288,0,158,117,0,0, world1_large_island_top_mausoleumBush
0,446,0,64,128,0,0, world1_large_island_top_shopSmallCliff
0,510,0,392,448,0,0, world1_lighthouse
0,0,230,144,140,0,0, world1_stairs_blimp
0,144,230,129,43,0,0, world1_stairs_blimp_top
0,273,230,168,187,0,0, world1_stairs_king_dice
0,441,448,84,108,0,0, world1_stairs_king_dice_back_top
0,525,448,87,109,0,0, world1_stairs_king_dice_front_top
0,612,448,155,169,0,0, world1_stairs_level_1-2
0,767,448,82,91,0,0, world1_stairs_level_1-2_back_top
0,849,448,73,89,0,0, world1_stairs_level_1-2_front_top
0,0,370,146,117,0,0, world1_stairs_slime
0,146,273,126,41,0,0, world1_stairs_slime_top
0,272,417,159,167,0,0, world1_stairs_veggie
0,431,556,73,89,0,0, world1_stairs_veggie_back_top
0,504,557,69,94,0,0, world1_stairs_veggie_front_top
0,144,255,129,43,0,0, world1_stairs_blimp_top
0,273,432,168,187,0,0, world1_stairs_king_dice
0,441,432,84,108,0,0, world1_stairs_king_dice_back_top
0,525,432,87,109,0,0, world1_stairs_king_dice_front_top
0,612,338,155,169,0,0, world1_stairs_level_1-2
0,767,342,82,91,0,0, world1_stairs_level_1-2_back_top
0,849,342,73,89,0,0, world1_stairs_level_1-2_front_top
0,922,441,146,117,0,0, world1_stairs_slime
0,1068,441,126,41,0,0, world1_stairs_slime_top
0,1194,423,159,167,0,0, world1_stairs_veggie
0,1353,330,73,89,0,0, world1_stairs_veggie_back_top
0,1426,341,69,94,0,0, world1_stairs_veggie_front_top
1,0,0,280,432,0,0, world1_tree_island
