bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,224,248,0,-12
0,224,0,224,248,0,-12
0,448,0,164,126,0,0
0,612,0,79,23,1.5,-0.5
0,691,0,157,140,0,0
0,848,0,61,41,1,1.5
0,909,0,124,152,0,-13
0,1033,0,124,158,0,-10
0,1157,0,224,272,0,0
0,1381,0,224,272,0,0
0,1605,0,225,274,4.5,0.5
0,0,248,224,274,0,1
0,224,248,225,273,-9.5,0
0,449,126,224,276,0,2
0,673,140,224,275,-2,1.5
0,897,158,224,273,0,0.5
0,1121,272,224,275,0,1
0,1345,272,224,272,0,0
0,1569,274,224,272,0,0.5
0,1793,274,224,272,0,0
0,0,522,224,272,0,0.5
0,224,521,224,272,0,-0.5
0,448,521,224,272,0,0.5
0,672,415,225,274,4.5,1
0,897,431,224,274,0,1
0,1121,547,225,273,-9.5,0
0,1346,546,224,275,-2,1
0,1570,546,224,273,0,0
0,1794,546,224,275,0,0.5
0,0,794,224,272,0,-0.5
0,224,793,224,272,0,0
0,448,793,224,272,0,-1.5
0,672,689,224,272,0,1.5
0,896,705,224,272,0,-1.5
0,1120,820,224,272,0,1.5
0,1344,821,224,272,0,-1.5
0,1568,821,224,272,0,1.5
0,1792,821,224,272,0,-2
0,0,1066,224,272,0,1
0,224,1065,224,272,0,4.5
0,448,1065,224,272,0,1.5
0,672,961,224,272,0,5
0,896,977,224,272,0,4.5
0,1120,1092,224,272,0,6
0,1344,1093,224,272,0,2.5
0,1568,1093,224,272,0,5.5
0,1792,1093,224,272,0,3.5
0,0,1338,224,272,0,5.5
0,224,1337,224,272,0,3
0,448,1337,224,272,0,5.5
0,672,1233,224,272,0,3.5
0,896,1249,224,272,0,4.5
0,1120,1364,224,272,0,1.5
0,1344,1365,224,272,0,1
0,1568,1365,224,273,-2,0
0,1792,1365,224,273,1.5,0
0,0,1610,224,272,-1.5,-0.5
0,224,1609,224,274,1.5,0.5
0,448,1609,224,277,-1.5,2
0,672,1505,224,272,1.5,-0.5
0,896,1521,224,272,-1.5,-0.5
0,1120,1636,224,272,1.5,-0.5
0,1344,1637,224,276,-1,1.5
0,1568,1638,224,274,1,0.5
0,1792,1638,224,272,0,-0.5
