bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,345,175,0,0
0,345,0,188,109,0,0
0,533,0,238,266,0,0
0,771,0,699,269,0,0
0,0,269,1004,344,0,0
0,1004,269,269,267,0,0
0,1273,269,50,34,0,0
0,1323,269,22,18,0,0
0,1345,269,41,41,0,0
0,1386,269,26,21,0,0
0,1412,269,280,126,0,0
0,1692,134.5,238,170,0,0
0,0,613,312,140,0,0
0,312,613,76,38,0,0
0,388,613,78,22,0,0
0,466,613,189,140,0,0
0,655,613,189,140,0,0
0,844,613,190,138,0,-1
0,1034,536,190,138,0,-1
0,1224,536,189,138,0,-1
0,1413,395,189,138,0,-1
0,1602,395,189,138,1,-1
0,1791,304.5,189,138,1,-1
0,0,753,190,139,0,0
0,190,753,190,139,0,0
0,380,753,189,138,0,0
0,569,753,189,138,0,0
