bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,438,170,3,0
0,438,0,562,214,3,0
0,1000,0,712,264,7,0
0,0,214,730,263,7,-1
0,730,264,751,249,9,4
0,0,513,757,259,9,2
0,757,513,772,264,6,-4
0,0,777,781,271,8,-8
0,781,777,795,282,10,-11
0,0,1059,805,286,6,-14
0,805,1059,824,299,0,-18
0,0,1358,837,322,-1,-13
0,837,1358,843,314,-1,-27
0,0,1680,810,290,-25,-17
0,810,1680,822,297,-25,-23
1,0,0,639,158,5,-73
1,639,0,491,144,0,0
1,1130,0,596,207,0,0
1,0,158,682,250,4,0
1,682,207,798,276,0,0
1,0,483,836,302,2,0
1,836,483,883,323,6,-4
1,0,806,918,342,0,-15
1,918,806,920,363,-17,-14
1,0,1169,945,345,-23,-4
1,945,1169,983,275,-22,-43
