bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,358,369,2,82
0,358,0,387,375,17,84
0,745,0,359,369,2,82
0,1104,0,387,370,17,81
0,1491,0,359,370,2,82
0,0,369,345,370,2,82
0,345,375,332,370,1,82
0,677,375,345,368,-1,81
0,1022,370,338,385,1,84
0,1360,370,371,390,-16,85
0,0,739,338,386,1,84
0,338,745,371,390,-16,85
0,709,755,343,392,0,86
0,1052,760,343,401,5,86
0,1395,760,344,406,8,88
0,0,1135,373,360,42,62
0,373,1147,381,358,38,61
0,754,1161,383,368,36,66
0,1137,1166,388,385,35,72
0,1525,1166,385,388,25,73
0,0,1505,381,388,19,73
0,381,1529,387,384,3,71
0,768,1551,394,375,-11,68
0,1162,1554,393,368,-26,65
0,1555,1554,393,382,-29,66
1,0,0,391,372,-30,64
1,391,0,393,382,-31,66
1,784,0,393,368,-24,65
1,1177,0,394,375,-7,68
1,1571,0,387,384,3,71
1,0,372,381,388,18,73
1,381,382,387,388,21,73
1,768,382,388,385,34,73
1,1156,375,383,368,34,67
1,1539,384,380,358,39,61
1,0,760,334,447,3,106
1,334,770,321,455,1,106
1,655,770,302,469,1,106
1,957,767,336,398,7,79
1,1293,743,341,393,9,74
1,1634,742,365,389,4,72
1,0,1225,375,380,6,68
1,375,1239,365,412,16,75
1,740,1239,419,404,8,82
1,1159,1165,441,389,11,74
1,0,1651,453,385,11,71
1,453,1651,461,380,11,66
1,914,1643,468,372,13,62
1,1382,1554,453,383,13,72
2,0,0,442,365,11,66
2,442,0,423,361,10,62
2,865,0,442,400,0,81
2,1307,0,392,400,6,79
2,0,365,391,399,6,80
2,391,365,396,399,7,79
2,787,400,416,397,-17,79
2,1203,400,605,392,43,77
2,0,764,479,391,-46,75
2,479,797,585,389,-14,74
2,1064,797,604,387,-19,75
2,0,1186,511,392,-64,75
2,511,1186,505,394,-58,78
2,1016,1186,488,394,-44,79
2,0,1580,761,391,104,75
2,761,1580,690,396,122,79
3,0,0,781,422,206,89
3,781,0,802,423,219,89
3,0,423,814,427,223,89
3,814,423,823,427,226,89
3,0,850,734,421,0,80
3,734,850,446,386,6,71
3,1180,850,426,377,9,76
3,1606,850,441,394,19,80
3,0,1271,439,398,30,88
3,439,1271,458,409,44,90
3,897,1236,485,415,58,90
3,1382,1244,499,400,63,88
3,0,1669,402,371,-30,88
3,402,1680,345,368,0,89
3,747,1680,346,364,0,89
3,1093,1651,354,365,-1,89
3,1447,1644,359,357,2,88
3,1806,1644,193,191,0,0
4,0,0,195,192,0,0
4,195,0,193,192,0,0
4,388,0,190,197,-1,3
4,578,0,194,200,0,0
4,772,0,185,195,1,0
4,957,0,212,197,9,0
4,1169,0,210,198,8,0
4,1379,0,212,195,8,-1
4,1591,0,190,197,0,0
4,1781,0,191,202,-1,0
4,0,192,191,204,-1,2
4,191,192,194,212,0,-1
4,385,200,212,234,0,8
4,597,200,217,204,2,-6
4,814,197,290,199,31,-9
4,1104,198,225,215,6,1
4,1329,198,214,214,10,1
4,1543,197,225,215,6,1
4,1768,202,259,214,32,1
4,0,404,326,214,64,0
4,326,434,361,215,80,1
4,687,404,273,231,35,10
4,960,413,251,270,23,28
4,1211,413,231,281,13,35
4,1442,416,388,231,89,9
4,0,649,391,255,80,19
4,391,649,267,239,27,15
4,658,649,259,305,27,48
4,917,683,256,384,28,87
4,1173,694,287,390,49,87
4,1460,647,356,331,95,56
4,0,904,393,269,115,24
4,393,954,381,216,110,0
4,774,1067,388,216,89,2
4,1162,1084,258,228,28,9
4,1420,1084,244,207,22,0
4,1664,978,361,215,81,2
4,0,1173,197,214,1,0
4,197,1173,227,197,-1,-9
4,424,1170,243,186,2,-12
4,667,1283,254,193,0,-8
4,921,1312,265,179,1,-15
4,1186,1312,270,179,0,-15
4,1456,1291,265,179,0,-15
4,1721,1193,254,193,-2,-8
4,0,1387,243,168,-2,-20
4,243,1370,227,193,-5,-8
4,470,1476,229,202,1,-8
4,699,1476,219,202,-1,-5
4,918,1491,221,310,8,48
4,1139,1491,194,213,0,0
4,1333,1491,212,234,-2,8
4,1545,1470,218,204,1,-5
5,0,0,290,558,30,172
5,290,0,228,213,17,0
5,518,0,260,223,42,2
5,778,0,284,220,56,3
5,1062,0,298,226,71,5
5,1360,0,300,211,70,-2
5,1660,0,300,207,70,-3
5,0,558,307,202,70,-4
5,307,223,329,208,74,2
5,636,223,320,306,70,49
5,956,226,320,434,69,113
5,1276,226,319,516,68,153
5,1595,211,318,550,66,171
5,0,760,318,563,67,178
5,318,529,320,568,68,181
5,638,660,319,563,69,179
5,957,742,323,559,73,176
5,1280,761,321,523,73,155
5,1601,761,323,445,73,118
5,0,1323,321,318,73,53
5,321,1223,323,277,72,34
5,644,1223,281,256,48,22
5,925,1301,232,230,23,6
5,1157,1301,208,208,2,-5
5,1365,1284,329,553,59,169
5,1694,1206,336,556,57,167
6,0,0,314,555,62,168
6,314,0,315,554,63,167
6,629,0,321,553,61,167
6,950,0,314,556,60,168
6,1264,0,316,556,60,168
6,1580,0,222,348,-3,66
6,0,555,268,389,-16,84
6,268,555,294,436,-21,105
6,562,554,302,463,-17,116
6,864,556,314,473,-15,119
6,1178,556,321,488,-15,128
6,1499,556,319,481,-13,124
6,0,991,319,473,-11,119
6,319,1017,324,446,-14,109
6,643,1029,352,403,7,71
6,995,1044,358,380,13,73
6,1353,1044,194,224,-3,7
6,1547,1037,306,401,23,93
6,0,1464,462,240,64,12
6,462,1463,275,222,-81,4
6,737,1432,282,207,-92,-3
6,1019,1424,293,326,-98,56
6,1312,1438,300,182,-99,-16
6,1612,1438,285,330,-98,63
7,0,0,377,396,-10,94
7,377,0,628,408,283,86
7,1005,0,641,422,286,92
7,1646,0,384,380,132,84
7,0,396,290,330,79,60
7,290,408,237,267,38,27
7,527,408,210,240,14,16
7,737,408,200,224,8,8
7,937,422,194,224,0,0
7,1131,422,306,401,0,0
7,1437,422,462,240,0,0
7,0,726,275,222,0,0
7,275,726,282,207,0,0
7,557,648,293,326,0,0
7,850,646,197,197,0,-1
7,1047,823,195,197,0,0
7,1242,823,196,198,0,0
7,1438,662,196,197,0,0
7,1634,662,194,196,0,0
