bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,524,559,-2,3
0,524,0,543,560,0,1
0,1067,0,565,550,0,-2
0,0,560,586,541,0,-6
0,586,560,602,531,-4,-10
0,1188,550,618,525,-5,-15
0,0,1101,363,602,0,1
0,363,1101,425,556,15,2
0,788,1091,390,560,-2,5
0,1178,1091,388,564,0,8
0,1566,1075,389,570,-2,11
1,0,0,391,572,-3,13
1,391,0,393,568,-3,10
1,784,0,389,561,-2,5
1,1173,0,399,551,-1,1
1,1572,0,390,562,-2,7
1,0,572,390,568,-2,11
1,390,572,391,571,-2,13
1,781,568,398,575,1,15
1,1179,562,396,570,-1,12
1,1575,562,399,558,0,8
1,0,1143,551,545,-21,-3
1,551,1143,552,534,-4,-9
1,1103,1143,567,517,0,-17
2,0,0,393,536,0,-4
2,393,0,373,498,-3,-16
2,766,0,368,485,-2,-16
2,1134,0,359,471,-1,-20
2,1493,0,381,555,0,3
2,0,536,384,620,0,15
2,384,536,389,770,-1,38
2,773,485,449,821,2,0
2,1222,555,658,815,72,-136
3,0,0,530,744,9,-172
3,530,0,873,665,67,-324
3,1403,0,564,531,8,-365
3,0,744,395,667,0,26
3,395,744,394,624,-3,22
3,789,665,396,593,-2,22
3,1185,665,395,602,0,1
3,1580,531,414,574,2,14
3,0,1411,432,574,0,15
3,432,1368,471,564,1,8
