bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,813,263,0,0
0,813,0,850,289,0,0
0,0,289,884,311,-5,-4
0,884,289,920,296,-16,-7
0,0,600,933,293,-21,-8
0,933,585,954,288,-20,-6
0,0,893,951,283,-23,-4
0,951,873,957,280,-20,-1
0,0,1176,967,277,-25,5
0,967,1153,978,275,-26,8
0,0,1453,975,274,-33,7
0,975,1428,982,270,-36,6
0,0,1727,994,267,-42,10
0,994,1698,1005,222,-46,33
1,0,0,1009,221,-45,36
1,1009,0,1013,217,-47,37
1,0,221,1007,210,-50,34
1,1007,221,776,207,62,36
1,0,431,383,69,0,0
1,383,431,370,67,8,-2
1,753,431,395,68,0,0
1,1148,428,414,67,0,-1
1,1562,428,135,40,88,-5
1,1697,428,142,25,77,-13
1,1839,324.5,202,32,49,-9
1,0,500,254,43,32,-5
1,254,500,299,56,20,-3
1,553,499,349,67,8,4
1,902,499,763,386,0,0
1,0,885,904,382,21,-24
1,904,885,918,337,11,-22
1,0,1267,930,462,5,57
1,930,1222,928,338,0,17
1,0,1729,935,253,0,-21
1,935,1560,931,245,-4,-15
2,0,0,927,241,-1,-7
2,927,0,923,232,0,-3
2,0,241,916,219,1,0
2,916,241,887,317,13,61
2,0,460,883,169,13,-3
2,883,558,880,166,15,-2
2,0,629,877,162,19,-3
2,877,724,872,211,18,-27
2,0,791,868,110,20,-25
2,868,935,680,79,126,-15
