bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,478,152,0,0, veggie_bg_0001
0,478,0,281,160,0,0, veggie_bg_0002
0,759,0,969,325,0,0, veggie_bg_0003
0,0,325,979,168,0,0, veggie_bg_0004
0,979,325,1005,165,0,0, veggie_bg_0005
0,0,493,960,166,0,0, veggie_bg_0006
0,960,510,950,185,0,0, veggie_bg_0007
0,0,844,946,154,0,0, veggie_bg_0008
0,946,912,945,115,0,0, veggie_bg_0009
0,0,998,937,353,0,0, veggie_bg_0010
0,937,1027,936,158,0,0, veggie_bg_0011
0,0,1351,1023,402,0,0, veggie_bg_0012
0,1023,1185,439,200,0,78, veggie_bg_clouds_0001
0,1462,1185,513,184,0,-76, veggie_bg_clouds_0002
0,0,1753,365,152,0,-92, veggie_bg_clouds_0003
0,365,1753,295,139,0,-98, veggie_bg_clouds_0004
0,660,1753,290,82,0,0, veggie_bg_clouds_0005
0,950,1753,345,110,0,128, veggie_bg_clouds_0006
0,1295,1385,402,158,0,101, veggie_bg_clouds_0007
