bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,202,107,0,0
0,202,0,218,84,0,0
0,420,0,280,94,0,0
0,700,0,312,107,1,4
0,1012,0,320,104,5,2
0,1332,0,372,237,34,46
0,0,107,345,106,17,1
0,345,94,355,107,16,1
0,700,107,458,99,71,1
0,1158,237,263,317,-1,101
0,1421,237,336,116,9,0
0,0,213,333,130,11,7
0,333,213,335,139,9,12
0,668,206,331,151,9,19
0,999,554,334,160,10,23
0,1333,554,330,180,15,33
0,1663,353,335,202,12,38
0,0,352,338,322,12,98
0,338,357,341,354,11,129
0,679,714,335,365,7,136
0,1014,734,349,379,6,126
0,1363,734,374,377,3,126
0,0,711,489,368,40,125
0,489,1079,438,363,0,121
0,927,1113,494,361,-6,118
0,1421,1111,494,361,3,115
0,0,1079,326,94,13,-11
