bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,470,593,0,0
0,470,0,443,612,0,9
0,913,0,456,602,3,4
0,1369,0,460,601,5,3
0,0,612,481,595,8,0
0,481,612,505,582,-7,-7
0,986,602,517,563,-6,-16
0,1503,601,514,558,-3,-19
0,0,1207,512,556,-1,-16
0,512,1194,517,558,1,-18
0,1029,1165,509,561,2,-21
0,1538,1159,506,564,4,-22
1,0,0,500,570,4,-18
1,500,0,457,570,-2,-11
1,957,0,452,565,-1,-10
1,1409,0,454,570,-2,-10
1,0,570,454,568,-2,-10
1,454,570,465,560,0,-15
1,919,570,458,568,0,-11
1,1377,570,483,578,-9,-5
1,0,1138,479,571,-10,-8
1,479,1138,509,567,-25,-10
1,988,1148,479,560,-8,-13
1,1467,1148,474,560,-10,-13
2,0,0,466,543,-5,-22
2,466,0,459,513,-3,-37
2,925,0,450,496,-2,-45
2,1375,0,439,465,-4,-60
2,0,543,440,466,-5,-62
2,440,543,437,457,-5,-62
2,877,513,437,453,-4,-66
2,1314,496,436,455,-6,-67
2,0,1009,436,454,-6,-68
2,436,1009,441,453,-7,-68
2,877,966,437,453,-4,-67
2,1314,951,448,604,6,7
3,0,0,451,598,5,4
3,451,0,455,596,-1,3
3,906,0,479,572,-6,-9
3,1385,0,501,550,-7,-20
3,0,598,507,538,-10,-26
3,507,596,514,534,-10,-28
3,1021,572,568,525,12,-32
3,0,1136,536,519,-14,-35
3,536,1130,526,528,-9,-31
3,1062,1097,525,532,-7,-29
4,0,0,499,543,6,-22
4,499,0,487,567,11,-12
4,986,0,476,578,11,-6
4,1462,0,470,588,12,-1
4,0,543,459,600,8,5
4,459,567,476,592,0,1
4,935,578,477,570,0,-9
4,1412,588,479,570,1,-11
4,0,1159,480,656,-1,34
4,480,1159,483,566,1,-10
4,963,1158,486,564,0,-12
4,1449,1158,495,555,2,-17
5,0,0,506,530,1,-31
5,506,0,494,542,8,-24
5,1000,0,487,556,10,-16
5,1487,0,490,558,8,-12
5,0,530,481,560,10,-12
5,481,542,481,557,11,-13
5,962,556,488,558,12,-14
5,1450,558,481,556,10,-14
5,0,1090,409,651,3,32
5,409,1099,469,601,10,87
5,878,1114,470,572,9,123
5,1348,1114,473,573,4,145
6,0,0,460,583,7,145
6,460,0,459,588,3,127
6,919,0,438,628,6,55
6,1357,0,524,533,-1,-31
6,0,588,510,536,0,-26
6,510,628,496,549,1,-21
6,1006,628,483,558,6,-18
6,1489,533,468,562,4,-16
6,0,1124,460,559,4,-16
6,460,1177,462,558,5,-15
6,922,1186,463,562,6,-13
6,1385,1186,459,560,5,-14
7,0,0,467,556,6,-15
7,467,0,469,558,5,-15
7,936,0,452,557,7,-14
7,1388,0,432,573,3,-7
7,0,556,458,554,5,-16
7,458,558,459,553,4,-17
7,917,558,456,555,3,-16
7,1373,573,476,563,-3,-13
7,1849,286.5,68,45,-4,0
7,1917,286.5,70,35,10,0
7,0,1110,105,32,9,3
7,105,1110,154,38,8,-2
7,259,1111,230,39,4,0
7,489,1111,258,224,21,90
7,747,1113,251,39,18,0
7,998,1113,172,46,0,0
7,1170,1136,234,34,0,0
7,1404,1136,274,31,0,0
7,1678,1136,243,34,-13,1
7,0,1150,273,35,0,0
7,273,1150,12,14,124,5
7,285,1150,46,78,0,0
7,331,1150,45,76,0,0
7,376,1150,47,75,0,0
7,423,1150,45,76,0,0
7,468,1335,44,72,0,0
7,512,1335,47,74,1,0
7,559,1335,47,80,0,0
7,606,1335,48,80,0,0
7,654,1335,47,78,-1,0
7,701,1335,47,74,0,0
7,748,1152,47,76,0,0
7,795,1152,45,75,0,0
7,840,1152,57,77,2,0
7,897,1152,93,70,1,-4
7,990,1159,138,106,1,-1
7,1128,1170,177,127,3,-3
7,1305,1170,200,135,1,-3
7,1505,1170,212,141,4,-5
7,1717,1170,229,145,4,-7
7,1946,1153,82,73,0,0
7,0,1185,107,78,-2,0
7,107,1185,136,112,1,0
7,243,1228,171,125,1,-5
7,414,1415,197,136,4,-4
7,611,1415,211,129,3,-13
7,822,1265,230,136,0,-24
7,1052,1297,97,50,1,-14
7,1149,1297,148,107,-18,9
7,1297,1305,146,100,-1,-14
7,1443,1311,187,123,-6,-21
7,1630,1315,212,138,-4,-23
7,0,1297,223,147,-4,-22
7,223,1551,231,133,-6,-33
7,454,1551,82,73,0,0
7,536,1551,107,78,-2,0
7,643,1544,136,112,1,0
7,779,1544,171,125,4,-5
7,950,1401,197,136,4,-4
7,1147,1405,211,129,3,-13
7,1358,1405,46,75,0,0
7,1404,1434,44,76,0,0
7,1448,1434,47,78,1,0
7,1495,1434,46,78,0,0
7,1541,1434,45,76,0,0
7,1586,1453,47,75,-1,0
