bitmap_index,sx,sy,sw,sh,ox,oy,notes
0,0,0,429,126,0,0, arms_veggie_onion_bashful_0001
0,429,0,440,143,0,0, arms_veggie_onion_bashful_0002
0,869,0,438,143,0,0, arms_veggie_onion_bashful_0003
0,1307,0,441,141,0,0, arms_veggie_onion_bashful_0004
0,0,143,449,158,0,0, arms_veggie_onion_bashful_0005
0,449,143,460,181,0,0, arms_veggie_onion_bashful_0006
0,909,143,448,206,0,0, arms_veggie_onion_bashful_0007
0,1357,141,385,136,0,0, arms_veggie_onion_idle_0001
0,0,301,386,138,0,0, arms_veggie_onion_idle_0002
0,386,324,382,132,0,0, arms_veggie_onion_idle_0003
0,768,349,386,136,0,0, arms_veggie_onion_idle_0004
0,1154,349,388,132,0,0, arms_veggie_onion_idle_0005
0,1542,277,383,131,0,0, arms_veggie_onion_idle_0006
0,0,439,381,112,0,0, arms_veggie_onion_idle_0007
0,381,456,373,112,0,0, arms_veggie_onion_idle_0008
0,754,485,370,128,0,0, arms_veggie_onion_idle_0009
0,1124,485,369,138,0,0, arms_veggie_onion_idle_0010
0,1493,481,370,144,0,0, arms_veggie_onion_idle_0011
0,0,551,375,148,0,0, arms_veggie_onion_idle_0012
0,375,568,366,149,0,0, arms_veggie_onion_idle_0013
0,741,613,373,148,0,0, arms_veggie_onion_idle_0014
0,1114,623,370,147,0,0, arms_veggie_onion_idle_0015
0,1484,625,458,152,0,0, arms_veggie_onion_intro_0008
0,0,717,445,133,0,0, arms_veggie_onion_intro_0009
0,445,761,417,131,0,0, arms_veggie_onion_intro_0010
0,862,770,390,151,0,0, arms_veggie_onion_intro_0011
0,1252,777,381,155,0,0, arms_veggie_onion_intro_0012
0,1633,777,381,161,0,0, arms_veggie_onion_intro_0013
0,0,850,390,155,0,0, arms_veggie_onion_intro_0014
0,390,892,385,158,0,0, arms_veggie_onion_intro_0015
0,775,921,387,157,0,0, arms_veggie_onion_intro_0016
0,1162,932,390,158,0,0, arms_veggie_onion_intro_0017
0,1552,938,382,154,0,0, arms_veggie_onion_intro_0018
0,0,1005,369,143,0,0, arms_veggie_onion_intro_0019
0,369,1050,377,128,0,0, arms_veggie_onion_intro_0020
0,746,1078,363,122,0,0, arms_veggie_onion_intro_0021
0,1109,1090,370,118,0,0, arms_veggie_onion_intro_0022
0,1479,1092,361,123,0,0, arms_veggie_onion_intro_0023
0,0,1178,376,129,0,0, arms_veggie_onion_intro_0024
