bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,295,414,-3,14
0,295,0,335,426,-21,18
0,630,0,432,436,-68,23
0,1062,0,305,444,-5,28
0,1367,0,298,434,-7,22
0,1665,0,302,428,-8,18
0,0,426,304,456,-13,33
0,304,436,486,387,15,0
0,790,444,466,384,4,-2
0,1256,444,467,376,6,-7
0,0,882,469,369,8,-10
0,469,828,467,366,6,-14
0,936,828,240,264,-3,-61
0,1176,828,246,418,-8,19
0,1422,820,289,384,-6,18
0,0,1251,444,391,-1,12
0,444,1251,481,389,-17,3
0,925,1246,529,377,-9,-4
0,1454,1204,501,348,0,-19
0,0,1642,483,361,5,-13
0,483,1640,467,378,5,-4
0,950,1623,466,384,5,-3
0,1416,1623,467,386,3,-1
1,0,0,527,399,-27,9
1,527,0,516,400,-30,9
1,1043,0,405,398,19,9
1,1448,0,408,402,16,12
1,0,399,407,400,15,11
1,407,400,398,393,20,6
1,805,400,383,365,21,-9
1,1188,402,337,353,2,-20
1,1525,402,339,336,-8,-29
1,0,799,430,340,-34,-22
1,430,793,450,347,-38,-20
1,880,765,477,346,-37,-20
1,1357,755,491,345,-32,-20
1,0,1140,471,350,-36,-18
1,471,1140,464,359,-34,-15
1,935,1111,458,356,-37,-14
1,1393,1100,428,355,-51,-15
1,0,1490,452,348,-34,-18
1,452,1499,452,340,-26,-21
1,904,1499,459,351,-17,-16
1,1363,1467,464,379,-4,-3
2,0,0,469,387,0,0
